RefCode;Author
B001;Sentil A.
B001;Michez D.
B001;Abdouni I. E.
B001;Hamroud L.
B001;Ihsane O.
B001;Lhomme P.
B001;Rasmont P.
B001;Christmann S.
B001;Bencharki Y.
B002;Carrasco A.
B002;Lopez-Gallego E.
B002;Ortiz-Sanchez F. J.
B002;Ibanez H.
B002;Sanchez J. A.
B002;Perez-Marcos M.
B003;Silva A.
B003;Rad C.
B003;Siopa C.
B003;Lopez C. A.
B003;Marks E. A. N.
B003;Azcarate F. M.
B003;Alves J.
B003;Loureiro J.
B003;Ortega-Marcos J.
B003;Gonzalez J. A.
B003;Sousa J. P.
B003;Chapinal L.
B003;Mota L.
B003;Aguado O.
B003;Alcorlo P.
B003;Castro S.
B003;Hevia V.
B004;Garcia-Nieto A. P.
B004;Ortega-Marcos J.
B004;Gonzalez J. A.
B004;Hevia V.
B005;Desposato B. N.
B005;Kleijn D.
B005;Bishop G. A.
B005;Scheper J.
B005;Fijen T. P. M. 
B006;Nicholson C. C.
B006;Hoffman G. D.
B006;Gibbs J.
B006;Brokaw J.
B006;Wilson J. K.
B006;Ward K. L.
B006;Gut L. J.
B006;Williams N. M.
B006;Rothwell N. L.
B006;Isaacs R.
B006;Rao S.
B006;Ricketts T. H.
B006;Wood T. J.
B007;Knapp J. L.
B007;Osborne J. L.
B007;Shaw R. F.
B008;Munoz A. E.
B008;Plantegenest M.
B008;Amouroux P.
B008;Zaviezo T.
B009;Gibbs J.
B009;Brokaw J.
B009;Wilson J. K.
B009;Gut L. J.
B009;Rothwell N. L.
B009;Isaacs R.
B009;Wood T. J.
B010;Rundlof M.
B010;Lundin O.
B010;Bommarco R.
B011;Kremen C.
B011;Sardinas H. S.
B012;Mayr B.
B012;Ganser D.
B012;Knop E.
B012;Albrecht M.
B013;Kremen C.
B013;Morandin L. A.
B013;Long R. F.
B014;Elle E.
B014;Button L.
B015 ;Blaauw B. R.
B015 ;Isaacs R.
B016;Kremen C.
B016;Morandin L. A.
B017;Klatt B. K.
B017;Ahrenfeldt E. J.
B017;Andersson G. K. S.
B017;Smith H. G.
B017;Arildsen J.
B017;Sigsgaard L.
B017;Trandem N.
B017;Tscharntke T.
B018 ;Carmona C. P.
B018 ;Azcarate F. M.
B018 ;Gonzalez J. A.
B018 ;Heredia R.
B018 ;Hevia V.
B019 ;Klein A. M. 
B019 ;Brittain C.
B019 ;Kremen C.
B019 ;Williams N. M.
B019 ;Thorp R.
B019 ;Hendrix S. D.
B020;Fereres A.
B020;Adan A.
B020;Azpiazu C.
B020;Vinuela E.
B020;Sanchez-Ramos I.
B020;Estal P.
B020;Estal P.
B020;Medina P.
B021;Munoz A. E.
B021;Amouroux P.
B021;Zaviezo T.
B022;Yusuf A. A.
B022;Lattorff H. M. G.
B022;Jordaens K.
B022;Toukem N. K.
B022;Mohamed S. A.
B022;Dubois T.
B023;Bottero I.
B023;Stout J. C.
B023;Hodge S.
B024 ;Walton N. J.
B024 ;Isaacs R.
B025;Gale G. A.
B025;Warrit N.
B025;Tangtorwongsakul P.
B026;Mupepele A. C.
B026;von Konigslow V.
B026;Bleile A. M.
B026;Fornoff F.
B026;Frund J.
B026;Klein A. M. 
B027;Killewald M. F.
B027;Costamagna A. C.
B027;Lawley Y.
B027;Gulden R. H.
B027;Gibbs J.
B028;Bridoux E.
B028;Desaegher J.
B028;Allier F.
B028;Decourtye, A.
B028;Leilde R.
B028;Guigne E. 
B028;Requier F.
B029;Nagano Y.
B029;Yokoi T.
B029;Taki H.
B029;Miyashita T.
B030;Lowe E. B.
B030;Groves R.
B030;Gratton C.
B031;Cohen H.
B031;Smith G. P.
B031;Sardinas H. S.
B031;Zorn J. F.
B031;McFrederick Q. S.
B031;Woodard S. H.
B031;Ponisio L. C.
B032;Woodcock B. A.
B032;Bullock J. M.
B032;McCracken M.
B032;Chapman R. E.
B032;Ball S. L.
B032;Edwards M. E.
B032;Nowakowski M.
B032;Pywell R. F.
B033;Grab H.
B033;Poveda K.
B033;Danforth B.
B033;Loeb G.
B034;von Konigslow V.
B034;Fornoff F.
B034;Klein A. M. 
