RefCode;Author
B022;Yusuf A. A.
B001;Sentil A.
B020;Fereres A.
B021;Munoz A. E.
B008;Munoz A. E.
B019 ;Klein A.
B002;Carrasco A.
B004;Garcia-Nieto A. P.
B020;Adan A.
B003;Silva A.
B012;Mayr B.
B017;Klatt B. K.
B015 ;Blaauw B. R.
B005;Desposato B. N.
B018 ;Carmona C. P.
B003;Rad C.
B003;Siopa C.
B020;Azpiazu C.
B003;Lopez C. A.
B006;Nicholson C. C.
B019 ;Brittain C.
B011;Kremen C.
B013;Kremen C.
B016;Kremen C.
B019 ;Kremen C.
B005;Kleijn D.
B001;Michez D.
B012;Ganser D.
B002;Lopez-Gallego E.
B020;Vinuela E.
B014;Elle E.
B017;Ahrenfeldt E. J.
B012;Knop E.
B003;Marks E. A. N.
B002;Ortiz-Sanchez F. J.
B003;Azcarate F. M.
B018 ;Azcarate F. M.
B005;Bishop G. A.
B025;Gale G. A.
B006;Hoffman G. D.
B017;Andersson G. K. S.
B022;Lattorff H. M. G.
B002;Ibanez H.
B017;Smith H. G.
B011;Sardinas H. S.
B001;Abdouni I. E.
B023;Bottero I.
B020;Sanchez-Ramos I.
B017;Arildsen J.
B023;Stout J. C.
B006;Gibbs J.
B009;Gibbs J.
B005;Scheper J.
B007;Knapp J. L.
B003;Alves J.
B003;Loureiro J.
B003;Ortega-Marcos J.
B004;Ortega-Marcos J.
B003;Gonzalez J. A.
B004;Gonzalez J. A.
B018 ;Gonzalez J. A.
B003;Sousa J. P.
B002;Sanchez J. A.
B006;Brokaw J.
B009;Brokaw J.
B006;Wilson J. K.
B009;Wilson J. K.
B007;Osborne J. L.
B006;Ward K. L.
B022;Jordaens K.
B001;Hamroud L.
B006;Gut L. J.
B009;Gut L. J.
B017;Sigsgaard L.
B003;Chapinal L.
B014;Button L.
B013;Morandin L. A.
B016;Morandin L. A.
B003;Mota L.
B010;Rundlof M.
B008;Plantegenest M.
B002;Perez-Marcos M.
B012;Albrecht M.
B017;Trandem N.
B022;Toukem N. K.
B025;Warrit N.
B024 ;Walton N. J.
B006;Williams N. M.
B019 ;Williams N. M.
B006;Rothwell N. L.
B009;Rothwell N. L.
B010;Lundin O.
B003;Aguado O.
B001;Ihsane O.
B003;Alcorlo P.
B001;Lhomme P.
B008;Amouroux P.
B021;Amouroux P.
B020;Estal P.
B020;Estal P.
B001;Rasmont P.
B020;Medina P.
B025;Tangtorwongsakul P.
B013;Long R. F.
B010;Bommarco R.
B019 ;Thorp R.
B018 ;Heredia R.
B007;Shaw R. F.
B006;Isaacs R.
B009;Isaacs R.
B015 ;Isaacs R.
B024 ;Isaacs R.
B022;Mohamed S. A.
B003;Castro S.
B023;Hodge S.
B001;Christmann S.
B019 ;Hendrix S. D.
B006;Rao S.
B008;Zaviezo T.
B021;Zaviezo T.
B006;Ricketts T. H.
B017;Tscharntke T.
B005;Fijen T. P. M. 
B022;Dubois T.
B006;Wood T. J.
B009;Wood T. J.
B003;Hevia V.
B004;Hevia V.
B018 ;Hevia V.
B001;Bencharki Y.
