RefCode;Author;AuthorsAffiliation;AuthorsInstitute;UniversityCountry 
B022 ;Abdullahi A. Yusuf;Department of Zoology and Entomology, University of Pretoria, Pretoria 0028, South Africa;University of Pretoria;South Africa 
B001;Ahlam Sentil;International Center of Agricultural Research in Dry Area (ICARDA), Station Exp. INRA-Quich, street Hafiane Cherkaoui. Agdal, 10090 Rabat, Morocco;International Center of Agricultural Research in Dry Area (ICARDA);Morocco
B001;Ahlam Sentil;Laboratory of Zoology, Research Institute for Biosciences, University of Mons, Place du parc 20, 7000 Mons, Belgium;University of Mons;Belgium
B020;Alberto Fereres;Unidad Asociada IVAS (UPM-CSIC): Control de Insectos Vectores bajo sistemas de Agricultura Sostenible, 28040 Madrid, Spain;Unidad Asociada IVAS (UPM-CSIC) Control de Insectos Vectores bajo sistemas de Agricultura Sostenible;Spain
B020;Alberto Fereres;Instituto de Ciencias Agrarias, Consejo Superior de Investigaciones Científicas (ICA-CSIC), Serrano 115 Dpdo, 28006 Madrid, Spain;Instituto de Ciencias Agrarias, Consejo Superior de Investigaciones Científicas (ICA-CSIC);Spain
B008;Alejandra E. Munoz;Pontificia Universidad Catolica de Chile, Facultad de Agronomía e Ingeniería Forestal, Vicuna Mackenna 4860, Santiago - Chile;Facultad de Agronomia e Ingenieria Forestal;Chile
B021;Alejandra E. Munoz;Facultad de Agronomía e Ingeniería Forestal, Pontificia Universidad Católica de Chile, Av. Vicuña Mackenna 4860, Macul, Santiago, Chile;Pontificia Universidad Catolica de Chile;Chile
B019 ;Alexandra-Maria Klein;Institute of Ecology, Ecosystem Functions, Leuphana University of Lu¨neburg, Germany;Leuphana University of Luneburg;Germany
B002;Aline Carrasco;Biological Pest Control & Ecosystem Services Laboratory, Institute of Agricultural and Environmental Research and Development (IMIDA), C/Mayor s/n, 30150 Murcia, Spain;Institute of Agricultural and Environmental Research and Development (IMIDA);Spain
B004;Ana P. Garcia-Nieto;Social-Ecological Systems Laboratory, Department of Ecology, Universidad Autónoma de Madrid, Darwin 2, 28049 Madrid, Spain;Universidad Autonoma de Madrid;Spain
B020;Angeles Adan;Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas, Universidad Politécnica de Madrid (ETSIAAB-UPM), Avenida Puerta de Hierro 2-4, 28040 Madrid, Spain;Universidad Politecnica de Madrid;Spain
B020;Angeles Adan;Unidad Asociada IVAS (UPM-CSIC): Control de Insectos Vectores bajo sistemas de Agricultura Sostenible, 28040 Madrid, Spain;Unidad Asociada IVAS (UPM-CSIC) Control de Insectos Vectores bajo sistemas de Agricultura Sostenible;Spain
B003;Antonio Silva;Department of Life Sciences, Centre for Functional Ecology, University of Coimbra, Coimbra, Portugal;University of Coimbra;Portugal
B012;Barbara Mayr;Institute of Ecology and Evolution, University of Bern, Bern, Switzerland;University of Bern;Switzerland
B017;Bjorn K Klatt;Agroecology,Georg-August-University Göttingen,Grisebachstraße 6,37077 Göttingen,Germany;Georg-August-University Gottingen;Germany
B015 ;Brett R. Blaauw;Department of Entomology, Michigan State University, East Lansing, MI 48824, USA;Michigan State University;United States 
B005;Brooke N. Desposato;Plant Ecology and Nature Conservation Group, Wageningen University, Droevendaalsesteeg 3a, 6708PB Wageningen, the Netherlands;Wageningen University;Netherlands
B018 ;Carlos P. Carmona;Institute of Ecology and Earth Sciences, University of Tartu, Lai 40, 51005 Tartu, Estonia;University of Tartu;Estonia
B003;Carlos Rad;Grupo de Investigación en Compostaje UBUCOMP, Universidad de Burgos, Burgos, Spain;Universidad de Burgos;Spain
B003;Catarina Siopa;Department of Life Sciences, Centre for Functional Ecology, University of Coimbra, Coimbra, Portugal;University of Coimbra;Portugal
B020;Celeste Azpiazu;Escuela Técnica Superior de Ingeniería Agronómica, Alimentaria y de Biosistemas, Universidad Politécnica de Madrid (ETSIAAB-UPM), Avenida Puerta de Hierro 2-4, 28040 Madrid, Spain;Universidad Politecnica de Madrid;Spain
B003;Cesar A. Lopez;Social-ecological systems Laboratory, Universidad Autónoma de Madrid, Madrid, Spain;Universidad Autonoma de Madrid;Spain
B006;Charlie C. Nicholson;Gund Institute for Environment, University of Vermont, VT, USA;University of Vermont;United States 
B006;Charlie C. Nicholson;Department of Entomology and Nematology, University of California, Davis, CA, USA;University of California;United States 
B019 ;Claire Brittain;Institute of Ecology, Ecosystem Functions, Leuphana University of Lu¨neburg, Germany;Leuphana University of Luneburg;Germany
B019 ;Claire Brittain;"Department of Entomology at University of California in Davis, Davis, CA, USA;";University of California;United States 
B011;Claire Kremen;Department of Environmental Science, Policy and Management, 130 Mulford Hall, University of California, Berkeley, CA 94720, USA;University of California;United States 
