RefCode ;CropType
B001;melon (Cucumis melo)
B002;melon (Cucumis melo)
B003;sunflower (Helianthus annuus)
B004;sunflower (Helianthus annuus)
B005;apple (Malus domestica)
B006;blueberry (Vaccinium corymbosum)
B006;cherry (Prunus cerasus)
B006;watermelon (Citrullus lanatus)
B007;courgette (Cucurbita pepo)
B008;avocado (Persea americana)
B009;blueberry (Vaccinium corymbosum)
B009;cherry (Prunus cerasus)
B010;red clover (Trifolium pratense)
B011;sunflower (Helianthus annuus)
B012;strawberry (Fragaria ananassa)
B013;field mustard (Brassica rapa)
B014;blueberry (Vaccinium corymbosum)
B015;blueberry (Vaccinium corymbosum)
B016;tomato (Solanum lycopersicum)
B017;strawberry (Fragaria ananassa)
B018;sunflower (Helianthus annuus)
B019;almond (Prunus dulcis)
B020;melon (Cucumis melo)
B021;avocado (Persea americana)
B022;avocado (Persea americana)
B023;oilseed rape (Brassica napus)
B023;apple (Malus domestica)
B024;blueberry (Vaccinium corymbosum)
B025;mango (Mangifera indica)
B026;apple (Malus domestica)
B027;oilseed rape (Brassica napus)
B028;apple (Malus domestica)
B029;buckwheat (Fagopyrum esculentum)
B030;cucumber (Cucumis sativus)
B031;sunflower (Helianthus annuus)
B032;oilseed rape (Brassica napus)
B033;strawberry (Fragaria ananassa)
B034;apple (Malus domestica)
