RefCode ;CropType;FlowerSpecies;Mix
B001;melon (Cucumis melo);Coriandrum sativum;1
B001;melon (Cucumis melo);Helianthus annuus;1
B001;melon (Cucumis melo);Pimpinella anisum;1
B001;melon (Cucumis melo);Solanum melongena;1
B001;melon (Cucumis melo);Anethum graveolens;1
B001;melon (Cucumis melo);Cucurbita pepo;1
B001;melon (Cucumis melo);Cuminum cyminum;1
B001;melon (Cucumis melo);Ocimum basilicum;1
B002;melon (Cucumis melo);Matricaria chamomilla;2
B002;melon (Cucumis melo);Diplotaxis catholica;2
B002;melon (Cucumis melo);Medicago sp.;2
B002;melon (Cucumis melo);Vicia sativa;2
B002;melon (Cucumis melo);Lamium sp.;2
B002;melon (Cucumis melo);Salvia verbenaca;2
B002;melon (Cucumis melo);Nigella damascena;2
B003;sunflower (Helianthus annuus);Borago officinalis;3
B003;sunflower (Helianthus annuus);Calendula arvensis;3
B003;sunflower (Helianthus annuus);Coriandrum sativum ;3
B003;sunflower (Helianthus annuus);Diplotaxis erucoides;3
B003;sunflower (Helianthus annuus);Echium plantagineum;3
B003;sunflower (Helianthus annuus);Medicago sativa;3
B003;sunflower (Helianthus annuus);Nigella damascena;3
B003;sunflower (Helianthus annuus);Salvia pratensis;3
B003;sunflower (Helianthus annuus);Silene vulgaris;3
B003;sunflower (Helianthus annuus);Sinapis alba;3
B003;sunflower (Helianthus annuus);Vicia sativa;3
B003;sunflower (Helianthus annuus);Borago officinalis;3
B003;sunflower (Helianthus annuus);Calendula arvensis;3
B003;sunflower (Helianthus annuus);Coriandrum sativum;3
B003;sunflower (Helianthus annuus);Medicago sativa;3
B003;sunflower (Helianthus annuus);Sinapis alba;3
B003;sunflower (Helianthus annuus);Diplotaxis catholica;3
B004;sunflower (Helianthus annuus);Borago officinalis;4
B004;sunflower (Helianthus annuus);Calendula arvensis;4
B004;sunflower (Helianthus annuus);Coriandrum sativum;4
B004;sunflower (Helianthus annuus);Salvia pratensis;4
B004;sunflower (Helianthus annuus);Melilotus officinalis;4
B004;sunflower (Helianthus annuus);Diplotaxis erucoides;4
B004;sunflower (Helianthus annuus);Echium plantagineum;4
B004;sunflower (Helianthus annuus);Silene vulgaris;4
B004;sunflower (Helianthus annuus);Vicia sativa;4
B004;sunflower (Helianthus annuus);Nigella damascena;4
B004;sunflower (Helianthus annuus);Sinapis alba;4
B004;sunflower (Helianthus annuus);Medicago sativa;4
B005;apple (Malus domestica);Crataegus monogyna;5
B005;apple (Malus domestica);Carpinus betulus (L.);5
B005;apple (Malus domestica);Alnus glutinosa (L.);5
