RefCode ;EffectType;Mix;FlowerSpecies
B001;exporter;1;Coriandrum sativum
B001;exporter;1;Helianthus annuus
B001;exporter;1;Pimpinella anisum
B001;exporter;1;Solanum melongena
B001;exporter;1;Anethum graveolens
B001;exporter;1;Cucurbita pepo
B001;exporter;1;Cuminum cyminum
B001;exporter;1;Ocimum basilicum
B001;neutral;1;Coriandrum sativum
B001;neutral;1;Helianthus annuus
B001;neutral;1;Pimpinella anisum
B001;neutral;1;Solanum melongena
B001;neutral;1;Anethum graveolens
B001;neutral;1;Cucurbita pepo
B001;neutral;1;Cuminum cyminum
B001;neutral;1;Ocimum basilicum
B002;neutral;2;Matricaria chamomilla
B002;neutral;2;Diplotaxis catholica
B002;neutral;2;Medicago sp.
B002;neutral;2;Vicia sativa
B002;neutral;2;Lamium sp.
B002;neutral;2;Salvia verbenaca
B002;neutral;2;Nigella damascena
B003;exporter;3;Borago officinalis
B003;exporter;3;Calendula arvensis
B003;exporter;3;Coriandrum sativum 
B003;exporter;3;Diplotaxis erucoides
B003;exporter;3;Echium plantagineum
B003;exporter;3;Medicago sativa
B003;exporter;3;Nigella damascena
B003;exporter;3;Salvia pratensis
B003;exporter;3;Silene vulgaris
B003;exporter;3;Sinapis alba
B003;exporter;3;Vicia sativa
B003;exporter;3;Borago officinalis
B003;exporter;3;Calendula arvensis
B003;exporter;3;Coriandrum sativum
B003;exporter;3;Medicago sativa
B003;exporter;3;Sinapis alba
B003;exporter;3;Diplotaxis catholica
B003;neutral;3;Borago officinalis
B003;neutral;3;Calendula arvensis
B003;neutral;3;Coriandrum sativum 
B003;neutral;3;Diplotaxis erucoides
B003;neutral;3;Echium plantagineum
B003;neutral;3;Medicago sativa
B003;neutral;3;Nigella damascena
B003;neutral;3;Salvia pratensis
B003;neutral;3;Silene vulgaris
B003;neutral;3;Sinapis alba
B003;neutral;3;Vicia sativa
B003;neutral;3;Borago officinalis
B003;neutral;3;Calendula arvensis
B003;neutral;3;Coriandrum sativum
B003;neutral;3;Medicago sativa
B003;neutral;3;Sinapis alba
B003;neutral;3;Diplotaxis catholica
B004;exporter;4;Borago officinalis
B004;exporter;4;Calendula arvensis
B004;exporter;4;Coriandrum sativum
B004;exporter;4;Salvia pratensis
B004;exporter;4;Melilotus officinalis
B004;exporter;4;Diplotaxis erucoides
B004;exporter;4;Echium plantagineum
B004;exporter;4;Silene vulgaris
B004;exporter;4;Vicia sativa
B004;exporter;4;Nigella damascena
B004;exporter;4;Sinapis alba
B004;exporter;4;Medicago sativa
B004;neutral;4;Borago officinalis
B004;neutral;4;Calendula arvensis
B004;neutral;4;Coriandrum sativum
B004;neutral;4;Salvia pratensis
B004;neutral;4;Melilotus officinalis
B004;neutral;4;Diplotaxis erucoides
B004;neutral;4;Echium plantagineum
B004;neutral;4;Silene vulgaris
B004;neutral;4;Vicia sativa
B004;neutral;4;Nigella damascena
B004;neutral;4;Sinapis alba
B004;neutral;4;Medicago sativa
B005;concentrator;5;Crataegus monogyna
B005;concentrator;5;Carpinus betulus (L.)
B005;concentrator;5;Alnus glutinosa (L.)
B006;neutral;6;Achillea millefolium
B006;neutral;6;Andropogon gerardii
B006;neutral;6;Anemone canadensis
B006;neutral;6;Baptisia alba
B006;neutral;6;Coreopsis lanceolata
B006;neutral;6;Echinacea purpureum
B006;neutral;6;Elymus canadensis
B006;neutral;6;Eryngium yuccifolium
B006;neutral;6;Euthamia graminifolia
B006;neutral;6;Monarda fistulosa
B006;neutral;6;Monarda punctata
B006;neutral;6;Oenothera biennis
B006;neutral;6;Penstemon digitalis
B006;neutral;6;Penstemon hirsutus
B006;neutral;6;Pycnanthemum virginianum
B006;neutral;6;Ratibida pinnata
B006;neutral;6;Rudbeckia hirta
B006;neutral;6;Rudbeckia triloba
B006;neutral;6;Schizachyrium scoparium
B006;neutral;6;Scrophularia marilandica
B006;neutral;6;Solidago nemoralis
B006;neutral;6;Solidago rigida
B006;neutral;6;Solidago speciosa
B006;neutral;6;Sorghastrum nutans
B006;neutral;6;Symphyotrichum laeve
B006;neutral;6;Symphyotrichum novae-angliae
B006;neutral;6;Symphyotrichum urophyllum
B006;neutral;6;Tradescantia ohiensis
B006;neutral;6;Verbena stricta
B006;neutral;6;Zizia aurea
B006;neutral;7;Lupinus polyphylus
B006;neutral;7;Sidalcea campestris
B006;neutral;7;Collinsia grandiflora
B006;neutral;7;Gilia capitate
B006;neutral;7;Solidago canadensis
B006;neutral;7;Phacelia heterophylla
B006;neutral;7;Madia elegans
B006;neutral;7;Symphyotrichum subspicatum
B006;neutral;6;Achillea millefolium
B006;neutral;6;Andropogon gerardii
B006;neutral;6;Anemone canadensis
B006;neutral;6;Baptisia alba
B006;neutral;6;Coreopsis lanceolata
B006;neutral;6;Echinacea purpureum
B006;neutral;6;Elymus canadensis
B006;neutral;6;Eryngium yuccifolium
B006;neutral;6;Euthamia graminifolia
B006;neutral;6;Monarda fistulosa
B006;neutral;6;Monarda punctata
B006;neutral;6;Oenothera biennis
B006;neutral;6;Penstemon digitalis
B006;neutral;6;Penstemon hirsutus
B006;neutral;6;Pycnanthemum virginianum
B006;neutral;6;Ratibida pinnata
B006;neutral;6;Rudbeckia hirta
B006;neutral;6;Rudbeckia triloba
B006;neutral;6;Schizachyrium scoparium
B006;neutral;6;Scrophularia marilandica
B006;neutral;6;Solidago nemoralis
B006;neutral;6;Solidago rigida
B006;neutral;6;Solidago speciosa
B006;neutral;6;Sorghastrum nutans
B006;neutral;6;Symphyotrichum laeve
B006;neutral;6;Symphyotrichum novae-angliae
B006;neutral;6;Symphyotrichum urophyllum
B006;neutral;6;Tradescantia ohiensis
B006;neutral;6;Verbena stricta
B006;neutral;6;Zizia aurea
B006;neutral;8;Clarkia williamsonii
B006;neutral;8;Eschscholtzia californica
B006;neutral;8;Grindelia camporum
B006;neutral;8;Lupinus densiflorus
B006;neutral;8;Lupinus succulentus
B006;neutral;8;Phacelia californica
B006;neutral;8;Phacelia ciliata
B006;neutral;8;Phacelia tanacetifolia
