RefCode ;FlowerSpecies
B001;Coriandrum sativum
B001;Helianthus annuus
B001;Pimpinella anisum
B001;Solanum melongena
B001;Anethum graveolens
B001;Cucurbita pepo
B001;Cuminum cyminum
B001;Ocimum basilicum
B002;Matricaria chamomilla
B002;Diplotaxis catholica
B002;Medicago sp.
B002;Vicia sativa
B002;Lamium sp.
B002;Salvia verbenaca
B002;Nigella damascena
B003;Borago officinalis
B003;Calendula arvensis
B003;Coriandrum sativum 
B003;Diplotaxis erucoides
B003;Echium plantagineum
B003;Medicago sativa
B003;Nigella damascena
B003;Salvia pratensis
B003;Silene vulgaris
B003;Sinapis alba
B003;Vicia sativa
B003;Borago officinalis
B003;Calendula arvensis
B003;Coriandrum sativum
B003;Medicago sativa
B003;Sinapis alba
B003;Diplotaxis catholica
B004;Borago officinalis
B004;Calendula arvensis
B004;Coriandrum sativum
B004;Salvia pratensis
B004;Melilotus officinalis
B004;Diplotaxis erucoides
B004;Echium plantagineum
B004;Silene vulgaris
B004;Vicia sativa
B004;Nigella damascena
B004;Sinapis alba
B004;Medicago sativa
B005;Crataegus monogyna
B005;Carpinus betulus (L.)
B005;Alnus glutinosa (L.)
B006;Achillea millefolium
B006;Andropogon gerardii
B006;Anemone canadensis
B006;Baptisia alba
B006;Coreopsis lanceolata
B006;Echinacea purpureum
B006;Elymus canadensis
B006;Eryngium yuccifolium
B006;Euthamia graminifolia
B006;Monarda fistulosa
B006;Monarda punctata
B006;Oenothera biennis
B006;Penstemon digitalis
B006;Penstemon hirsutus
B006;Pycnanthemum virginianum
B006;Ratibida pinnata
B006;Rudbeckia hirta
B006;Rudbeckia triloba
B006;Schizachyrium scoparium
B006;Scrophularia marilandica
B006;Solidago nemoralis
B006;Solidago rigida
B006;Solidago speciosa
B006;Sorghastrum nutans
B006;Symphyotrichum laeve
B006;Symphyotrichum novae-angliae
B006;Symphyotrichum urophyllum
B006;Tradescantia ohiensis
B006;Verbena stricta
B006;Zizia aurea
B006;Lupinus polyphylus
B006;Sidalcea campestris
B006;Collinsia grandiflora
B006;Gilia capitate
B006;Solidago canadensis
B006;Phacelia heterophylla
B006;Madia elegans
B006;Symphyotrichum subspicatum
B006;Clarkia williamsonii
B006;Eschscholtzia californica
B006;Grindelia camporum
B006;Lupinus densiflorus
B006;Lupinus succulentus
B006;Phacelia californica
B006;Phacelia ciliata
B006;Phacelia tanacetifolia
B006;Trichostema lanceolatum
B006;Trifolium fulcatum
B006;Monardella villosa
B007;Angelica sylvestris
B007;Crepis vesicaria
B007;Digitalis purpurea
B007;Geranium dissectum
B007;Geranium robertianum
B007;Sonchus asper
B007;Stachys sylvatica
B007;Trifolium repens
B007;Viccia cracca
B008;Sphaeralcea obtusiloba (Hook.) G. Don
B008;Baccharis linearis (Ruiz & Pav.) Pers.
B008;Flourensia thurifera (Molina) DC.
B008;Lycium chilense Miers ex Bertero
B008;Eryngium paniculatum Cav. & Dombey ex F. Delaroche
B008;Encelia canescens Lam.
B008;Erigeron luxurians (Skottsb.) Solbrig
B008;Lepechinia salviae (Lindl.) Epling
B009;Achillea millefolium
B009;Andropogon gerardii
B009;Anemone canadensis
B009;Baptisia alba
B009;Coreopsis lanceolata
B009;Echinacea purpureum
B009;Elymus canadensis
B009;Eryngium yuccifolium
B009;Euthamia graminifolia
B009;Monarda fistulosa
B009;Monarda punctata 
B009;Oenothera biennis
B009;Penstemon digitalis
B009;Penstemon hirsutus
B009;Pycnanthemum virginianum
B009;Ratibida pinnata
B009;Rudbeckia hirta
B009;Rudbeckia triloba
B009;Schizachyrium scoparium
B009;Scrophularia marilandica
B009;Solidago nemoralis
B009;Forb Solidago rigida
B009;Solidago speciosa
B009;Sorghastrum nutans
B009;Symphyotrichum laeve
B009;Symphyotrichum novae-angliae
