"","Authors","Title","Abstract"
"1","Sáez, Agustín; Sabatino, Malena; Aizen, Marcelo","La diversidad floral del borde afecta la riqueza y abundancia de visitantes florales nativos en cultivos de girasol","The floral diversity of field margins influences the richness and abundance of native flower visitors in sunfower felds: Pollinator decline has been related to different types of anthropogenic disturbances, a topic largely debated in the context of global change. Within this debate, it has been stressed the importance of natural or semi-natural habitat remnants as pollinator sources for nearby agricultural fields. The SW of Buenos Aires Province is a highly-impacted and intensively-used agricultural region. However, field margins associated with country roads can provide diverse foristic resources and nesting sites for a variety of pollinators, which can eventually improve pollination and productivity of neighboring pollinator-dependent crops. Here, we evaluated the effect of floral diversity of field margins on the richness and abundance of foral visitors across 17 sunflower lots in the districts of Balcarce and Lobería. Our results indicate that floral diversity of field margins had a positive effect on the richness and abundance of native floral visitors in the adjacent crop field. As a consequence, pollination services in these agroecosystems would be promoted by increasing the amount and diversity of these marginal habitats."
"2","Dutra, Alek Sandro; Medeiros Filho, Sebastião; Teófilo, Elizita Maria; Diniz, Fábio Oliveira","Germinação de sementes de Senna siamea (Lam.) H.S. Irwin E Barneby: Caesalpinoideae","Senna siamea is a tree from Thailand that has adapted well to the climatic conditions of the Northeast of Brazil, that has been used for arborization, hedges and timber production. This research was divided in two experiments that aimed to identify methods to break dormancy and verify how temperature and light can affect germination of its seeds. In the experiment the germination percentages of hard and dead S. siamea seeds were determined using the treatments: humid heat, immersion in sulfuric acid and hot water, mechanical scarification, aiming at breaking dormancy and the control. In the second experiment, S. siamea seeds that had been immersed in sulfuric acid were placed on filter paper and submitted to five light period/temperature combinations: continuous light and constant temperature (25ºC), continuous light and two different temperatures (35ºC/8h and 20ºC/16h), continuous dark and constant temperature (25ºC), continuous dark and two different temperatures (35ºC/8h and 20ºC/16h), and different light periods and temperatures (light/35ºC/8h and dark/20ºC/16h). From the experiments it was concluded that S. siamea seeds present dormancy. The best treatments for breaking dormancy were mechanical scarification and sulfuric acid. The seeds were indifferent to the light and their germination was not influenced by the tested temperatures."
"3","Costa, Benedito Marques da; Capinan, Gean Carlo Soares; Santos, Heloisa Helena Moura dos; Silva, Maxuel Alves da","Métodos de plantio de gliricídia (Gliricidia sepium (Jacq.) Walp.) em estacas para produção de forragem","Gliricidia sepium has been used as shade tree in cocoa plantations, living fences, wood, fuel wood and livestock forage. It can be grown from seeds and from cuttings or stakes. This experiment was carried out to evaluate five grown methods from Gliricidia cuttings in other to identify the one showing highest stake sprouting indexes, forage production and least implantation costs. The experiment was in a randomized block design with five treatments and five replications. The treatments were the followings: 1) stakes with 1m in length placed vertically in pits; 2) stakes with .5 m in length placed vertically in pits; 3) stakes with .25 m in length placed vertically in pits; 4) stakes with 1 m in length placed horizontally in furrows; 5) stakes with .5 m in length placed horizontally in furrows. Stakes with 1m in length placed vertically in pits (method 1) or placed horizontally in furrows (method 4), after 14 days from harvesting, are the most recommended methods since they showed the least costs in expending time to prepare the cutting stakes and for planting operations, providing better profits per hectare, when the incomes from dry matter productions are taken into consideration."
"4","Alves, Edna Ursulino; Bruno, Riselane de Lucena Alcântara; Oliveira, Ademar Pereira de; Alves, Adriana Ursulino; Alves, Anarlete Ursulino; Paula, Rinaldo Cesar de","Influência do tamanho e da procedência de sementes Mimosa caesalpiniifolia Benth. Sobre a germinação e vigor","Mimosa caesalpiniifolia Benth. is a native species from the Northeast region, Brazil, which has been increasingly cultivated from the States of Maranhão to Rio de Janeiro. It presents great potential for urban forestry, hedging and wood production. The present research had as objective to evaluate the influence of the provenance and seed size on the germination and vigor of Mimosa caesalpiniifolia Benth. An experiment was conducted at the Laboratory of Seed Analysis of CCA-UFPB, Areia, Paraíba State, Brazil in a completely randomized design with the treatments arranged in a 3x3 factorial, with three provenances and three size classes , four replicates of 25 seeds. The following characteristics were analyzed: 100-seed weight, seed dimensions, percentage and first counting, germination speed, length and weight of dry matter of primary root and hypocotyl and weight of cotyledon dry matter . It was verified that the germination was not influenced by seed size, however, it was influenced strongly by the provenance. The tests of first count and germination speed were not shown appropriate for seed vigor evaluation, being this better appraised by cotyledon and hypocotyl dry matter. Seed vigor was directly related with size, being thus justified the use of size classes for seedling production."
"5","Moreira-González, Ileana; Arnáez-Serrano, Elizabeth; Castillo-Ugalde, Marvin; Briceño-Elizondo, Elemer; Arias-Aguilar, Dagoberto","Use of pruning in the agricultural management of Jatropha curcas (jatropha) for the plant flower development, in Costa Rica","Abstract The species Jatropha curcas (jatropha) is characteristic of the Mesoamerican region, with its center of origin found in Mexico. It has been adapted for its use as hedge rows and also exploited, based on traditional knowledge for medicinal applications. Currently, it is classified as a valuable species for the production of oils; for biofuels or as paint diluents. In Costa Rica, since 2005, studies have been performed to achieve the positive domestication for the use of this species as an agro-energetic crop along with another food crop. However, the crop management processes are still very recent and it is required to deepen in this subject to obtain a crop of a high economic value. At the Estación Fabio Baudrit, a crop was established, using seeds from the Comayagua variety and an assay was established, in which a strict assessment was performed to random blocks, of the plants length in order to execute the first prune at 40 cm. Later, the blocks were also tracked, to evaluate the branches until the flowering and harvesting stages. The yield of green fruits behaved similarly to the inflorescence and the female flower production. The pruned plants did not present a significant difference in terms of fruit yield for the first year; but in the second year, they exceeded the production of the unpruned plants."
"6","Parentoni, Sidney Netto; Miranda, Rubens Augusto de; Garcia, João Carlos","Implications on the introduction of transgenics in Brazilian maize breeding programs","Transgenic maize was approved in Brazil in 2008/2009. In 2012, it occupied 73% of the country maize growing area. This high adoption rate confirms studies indicating that technology use has been the major driving force in Brazilian agriculture. Maize seed market in the world has been a concentrated sector. Although, when this sector is associated with transgenesis, this concentration increases sharply. In one side, there is the idea that companies can benefit from gains of scale and complementarities to maximize their efficiency in research and development (R&D). On the other side, this concentration may allow the exercise of market power by dominant companies. The objective of this study is to analyze the impacts of the adoption of transgenic technology in the arrangements of maize breeding programs and seed production sector in Brazil. A critical analysis of the situation of the breeding programs that do not have this technology is made."
"7","Cepeda-valencia, Juliana; Gómez P, Diana; Nicholls, Clara","La estructura importa: abejas visitantes del café y estructura agroecológica principal (EAP) en cafetales","Cross pollination in coffee increases their quality and the efficiency of pollination has a positive trend with richness of pollinators. The Main Agroecological Structure (MAS) is a new concept to identify and characterize the agroecosystems. The method uses local variables related with agricultural management, landscape and cultural variables. As a first approach to study the relationship between MAS and pollination, we characterized nine systems (five coffee farms, four forests) located in Cundinamarca, using ten local variables, the distance to the forest as a landscape variable and bees (visitors of coffee flowers). The field work was done during the flowerings of 2011 y 2012. After the capture, bees were identified and the pollen loads were analyzed. We found 130 bees of the subfamilies: Halictinae (three species), Megachilidae (one species) and Apinae (nine species). Trigona was the richest genera. The most common visitors of coffee flowers were Apis mellifera and Paratrigona eutaeniata. The bees richness was positive related with plants richness (P = 0.031, R² = 0.96) and the forest proximity (P = 0.0075, R² = 0.52), Also, we found a negatively trend with the increase in coffee density (P = 0.045, R² = 0.67). In the analysis of the pollen loads we identified trees, herbs and epiphytes species, this suggested that bees foraging in all vegetation strata. In this analysis we also found species related with the coffee system and others more related with forest and hedges. We concluded that a change in MAS affecting bee's composition and richness, and preserving richness of bees, implies protection of plant diversity inside the coffee farm and also the maintenance of nearby ecosystems."
"8","BAHIENSE, DOUGLAS VIANNA; SOUZA, PAULO MARCELO DE; PONCIANO, NIRALDO JOSÉ","INCENTIVOS À PRODUÇÃO DE FRUTAS E AS MUDANÇAS NA AGRICULTURA DA REGIÃO NORTE DO ESTADO DO RIO DE JANEIRO","The agricultural economy of the North region of Rio de Janeiro is historically dependent on sugarcane production. In an attempt to reduce such dependence, incentives for the development of fruit production in the region have been adopted, particularly through the “Frutificar” Program (Bear fruit Program). This research aims to evaluate the impacts of the mentioned program, especially its contribution to increase the fruits production and raise the diversification of regional agriculture. The analysis was performed by using the shift-share model, geometric rates of growth and the Diversification Index. It was observed reduction in agricultural area of ??the region, particularly associated with the fall in areas cultivated with sugar cane, rice, corn and beans. In the period of the “Frutificar” Program incentives, there were an increase in the production of pineapple, banana and coconut, which contributed to the diversification of the regional agricultural economy. However, this economy still remains heavily dependent on sugarcane."
"9","Fachinello, José Carlos; Pasa, Mateus da Silveira; Schmtiz, Juliano Dutra; Betemps, Débora Leitzke","Situação e perspectivas da fruticultura de clima temperado no Brasil","Fruticulture is present in all Brazilian states, and as economic activity, involves around five million people, directly and indirectly. Brazil is the third largest fruit producer, with output of around 40 million tons a year, but has only 2% of global trade industry, which demonstrates the high domestic consumption. The Brazilian fruit growing area is approximately 1.9 million hectares of which 1,034,708 hectares of tropical fruits, 928,552 ha of subtropical fruits and 135,857 ha of temperate species. Among the fruits of temperate climate, are table and wine grapes (81,677 ha), apples (39,081 ha), peaches, plums and nectarines (19,102 ha), persimmons (8,740 ha), strawberries, blackberries, raspberries , blueberries (3,560 ha), figs (3,072 ha), pears (1,404 ha) and quinces (211 ha). Even with a smaller area than the species of tropical and subtropical climate, the temperate fruits have a social importance, highlighted in several regions of southern Brazil, which corresponds to the states of Rio Grande do Sul, Santa Catarina, Parana, of southeastern Brazil, Sao Paulo and Minas Gerais, and in the São Francisco Valley region, in northeasten Brazil, either as fresh crops, agribusiness and/or agrotourism. Brazilian exports of fruits in recent years have been very positive, both in volume and in value. In 1998 Brazil exported 294,222 tons of fruits, whereas in 2008 exported 887,978 tons, representing a 201.8% increase in export volume. The main fruits that contributed to this significant increase were melon, mango, banana, apple and grape, with an increase in export volume between 1998 and 2008 of 226, 242, 91, 948 and 1766% respectively. The production of quality fruits in the temperate regions of southeastern Brazil needs genetic and breeding programs and studies on agricultural management, as well as on plant physiology to adapt them to the mild winter and to the range of temperatures, very frequent in major Brazilian regions. The long summers and precipitation excess cause many diseases and pests, which often requires pesticide treatments in excess. The management of the orchards with integrated fruit production is enabling the production of high quality fruits and at the same time is reducing the environmental impact of the activity. The challenges are related to climate changes, the necessity of pesticide use reduction and supplies, the fruit handling pre-and post-harvest, and to the need for logistics to suit the different markets, the control of pests and diseases and the breeding programs, in order to meet the new demands of each temperate species."
"10","Alves, Greigiano José; Gomes, Marília Fernandes Maciel; Almeida, Fernanda Maria; Gonçalves, Lílian Valeriano","Impacto da regulamentação SPS e TBT nas exportações brasileiras de uva no período de 1995 a 2009","The grape production chain has unique importance regarding to generate income and employment for many regional economies. However, in recent years, international trades in this sector, as well as the entire fruit sector, have been facing the imposition of various non-tariff measures, including sanitary, phytosanitary and technical. Thus, this paper analyzes the effects of sanitary, phytosanitary and technical rules imposed by importing countries of the Brazilian grape, from 1995 to 2009. To this end, we made an analysis of inventory and an econometric approach, in which we used the gravity model, in order to verify the impact of such measures on the Brazilian shipments of grape. The results found in the inventory analysis showed a positive relationship between changes in the number of notifications and import trends. As for the econometric model, the possibility of such measures have negatively affected the trading was disregarded and, in the case of sanitary and phytosanitary measures, a positive relationship with grape exports was found, i.e., they helped trades and effects of technical measures on exports were zero."
