"","Authors","Title","Abstract"
"1","Moradi Sh.; Javanmard S.; Ghader S.; Azadi M.; Gharaylou M.","Precipitation changes due to cloud seeding operations by WRF meso-scale model; [مطالعه موردی تغییرات بارش ناشی از عملیات بارورسازی ابر در منطقه شمال غرب WRF ایران با استفاده از مدل میان مقیاس]","Numerous numerical experiments have been performed to cloud model seeding over the last two decades. Silver iodide nucleation has been parameterized using different methods in these studies. The results of these studies indicate that cloud seeding can change the distribution of precipitation in most cases. Moreover, most of these numerical simulations have been used only in the field of convective cloud seeding and are incapable of complete simulation of atmospheric conditions. For this purpose, the governing equations should be parameterized in three dimensions for the general case and be used in the appropriate model. In this study, the effect of cloud seeding, whether increasing or decreasing in rainfall, has been studied. For this purpose, the WRF numerical model has been developed to simulate the cloud seeding. Since, it is virtually impossible to repeat experiments under similar meteorological conditions, a model that can simulate the effect of cloud seeding on microphysical processes and precipitation could avoid many speculations or inaccurate estimates. The basic hypothesis of cloud seeding is based on the physical principle that at sub-freezing temperatures the equilibrium vapor pressure relative to ice is lower than the equilibrium vapor pressure relative to liquid water. Therefore, the saturated environment with 100% relative humidity relative to water (RHW = 100%) will be supersaturated relative to ice at temperatures below zero degrees Celsius (Pruppacher and Klett, 2010). As a result, in a cloud that is saturated with liquid water and composed of supercooled cloud water droplets, ice particles grow rapidly to form larger and heavier drops which could be fall as rain drops. In that environment, tiny, supercooled cloud droplets either grow in upward motion or evaporate to provide vapour for ice to grow. Therefore, in the cloud seeding with silver iodide, ice particles are expected to be produced and grow in the cold part of the cloud, and the liquid water of the cloud will be transformed into ice phase species more quickly. The operational cloud seeding project has been carried out in the northwest area of Iran. At the time of operational project, the seeding target area was under the influence of the eastern Mediterranean low pressure center, this trough has caused the formation of divergence in its downstream in the upper levels of the atmosphere in the target area and has led to the formation of severe upward movements. Stable and thick clouds have formed in the area. Under the above mentioned environmental conditions, 44 pyropatrons of 4% silver iodide were fired at the target area by a seeding aircraft. Silver iodide particles measuring 0.1 to 1 mm are very effective in freezing nuclei. In this study, the effect of seeding is coded based on the model of Meyers et. al (1995) and Seto et. al (2011) by applying the seeding conditions into the Morrison scheme code within the WRF model and changing the number density and mixing ratio of cloud ice due to the silver iodide injected into the atmosphere. By simulating the effect of cloud seeding, meteorological quantities, including precipitation under seeding conditions, are estimated by changing the Morrison microphysical scheme in the WRF model. The WRF numerical model was also run in control mode (without applying cloud seeding relations). By comparing the output rainfall of the numerical model in seeding mode with the output rainfall of the numerical model in control mode, the amount of cloud seeding effect was determined. The results showed that the changes resulting from seeding in the studied cloud seeding operation were not favorable in all stations, and in some cases, the decrease in precipitation was seen 2 hours after seeding. This decrease in some stations, such as Maragheh, Tabriz, Sahand, and Khoy, starts from seeding time and continues until the end. But in a station like Sarab, although the rainfall decreases slightly at the beginning of cloud seeding, over time, it increases to 7% after two hours. While seeding in Parsabad, and Ahar stations resulted in precipitation enhancement by 3%, 9%, and 27% two hours after seeding, respectively. © 2023 IWA Publishing. All rights reserved."
"2","von Königslöw V.; Fornoff F.; Klein A.-M.","Wild bee communities benefit from temporal complementarity of hedges and flower strips in apple orchards","Wild bees importantly pollinate both crop and wild plants. Yet, in intensive agricultural landscapes, wild bees are rare due to resource limitations of nectar and pollen. Flower strips and hedges are often used as resource enhancements for wild bees to overcome this shortage, but provide floral resources only during specific time periods. To sustain diverse and stable bee communities, bee-attractive flowers need to be available during the entire growing season. This may be achieved by combining flower strips and hedges to complement each other and provide continuous floral resources. Over three subsequent years, we compared the phenology of flower and wild bee communities in perennial flower strips, hedges and improved hedges (complemented with a sown herb layer) in conventional apple orchards in Southern Germany, a pollination-dependent crop system. Hedges provided floral resources in the early season while the flower strips took over later in the season. Bees visited the hedges mostly from March to June, whereas they visited the flower strips from June to August in the first year, and in the second year already from April onwards. Flower strips were visited with an overall higher abundance and species richness than both the hedges and the improved hedges. Synthesis and application. For enhancing wild bees in intensive apple orchards, hedges and perennial flower strips are complementary in providing flower resources. Yet, flower strips bloom more constantly and during periods of flower scarcity, and thus attract a higher diversity of bees than hedges. Perennial flower strips of different age classes should be preferred over annual strips, at best in a network with some well-maintained hedges, as perennial flower strips of different age attract different bee communities and thus potentially a higher bee diversity on the landscape level. © 2022 The Authors. Journal of Applied Ecology published by John Wiley & Sons Ltd on behalf of British Ecological Society."
"3","Tustin D.S.; Breen K.C.; van Hooijdonk B.M.","Light utilisation, leaf canopy properties and fruiting responses of narrow-row, planar cordon apple orchard planting systems—A study of the productivity of apple","Growth (annual increase in total dry mass) and productivity of agricultural cropping systems depend on the fractional interception of total seasonal light energy. With single-row hedgerow intensive apple orchard systems the reported maximum light utilisation is ∼60% fractional interception. This limitation is determined by row layout and hedgerow tree architecture, constraining apple orchard productivity to maxima of 100–120 t ha−1. We hypothesised that reducing the orchard system between-row spacing to 1.5 m to 2.0 m would increase light interception and productivity, using two-dimensional, narrow planar hedgerow trees to maintain within-canopy irradiance. Trees comprised 10 vertical fruiting stems, equally spaced along 3 m of horizontal cordon (the planar cordon tree), requiring 2222 and 1667 trees per ha. By the seventh year the maximum fractional light interception (LI) was 77% in 1.5 m row plots and 66% in 2.0 m row plots, averaged across four cultivars (‘Gala’, ‘Scifresh’, ‘Scilate’, ‘Fuji’). The LAI-light interception response relationship of 6- and 7-year-old plots indicated a potential maximum light interception above 80% at a LAI of 3.5–5.0. Annual yields increased in proportion to increasing annual maximum fractional light interception from year two onwards and described an exponential response: Yield = 5.085e0.0483LI, (R2 = 0.88). The yield response to maximum fractional light interception exceeded the hypothesised 169 t ha−1 at 90% light interception in spindle systems proposed by Palmer et al. (2002). The yield–light utilisation behaviour of planar cordon systems indicate the productivity potential of apple as a crop has been under-estimated; a theoretical maximum annual yield of market-quality apples at ∼90% light utilisation (≥ 2000 MJ m−2 light energy per season) is estimated to be in a range of 250–315 t ha−1. Productivity amongst cultivars and regions will be influenced by the cultivar genetics for fruit size, relative maturation dates and production microclimates, because these orchard systems will function at the upper limit of light utilisation. © 2021"
"4","Aviron S.; Berry T.; Leroy D.; Savary G.; Alignier A.","Wild plants in hedgerows and weeds in crop fields are important floral resources for wild flower-visiting insects, independently of the presence of intercrops","The availability of diverse floral resources is crucial for the maintenance of pollinating insects and the pollination service they provide in agricultural landscapes. Ensuring plant diversity is thus essential for the maintenance and even restoration of pollinator communities. Many studies have highlighted the beneficial effects for pollinating insects of the floral resources provided either by uncultivated plants in agroecological infrastructures such as hedgerows and in crop fields, or by the addition of cultivated flowers through intercropping. However, the role of these different co-occurring vegetation types in providing floral resources to wild flower-visiting insects remains unexplored simultaneously, especially regarding their potential interacting effects. Using a paired design sampling approach, we investigated the contribution of floral resources provided by hedgerows, weeds in crop fields, and legumes intercropped with winter cereals, and their interacting effects, to the abundance of different groups of wild flower-visiting insects, plant-insect interactions and insect preferences. Our results show that the abundance of most groups of floral visitors were enhanced by the cover or species richness of floral resources provided by hedgerows or by weeds in crop fields. Interactions between uncultivated plants and insects were driven by the presence of some particular ‘preferred’ plant species offering either abundant, accessible or high-quality floral resources. By contrast, abundance of floral visitors was not enhanced by the addition of legume flowers through intercropping. The positive effects of flowering wild plants in hedgerows and crop fields remained mostly unchanged in the presence of intercrops, because of the limited contribution of legumes in providing attractive floral resources to floral visitors. Our results highlight the critical role of floral resources provided by weeds in crop fields for diverse flower-visiting insects, in addition to the floral resources provided by hedgerows. We recommend that agri-environment schemes should promote a wide diversity of floral resources at field margins through the retention of existing semi-natural elements or the sowing of wildflower mixtures. More importantly, our study encourages the seeking of alternative forms of weed management, which support a trade-off between the maintenance of pollinating insects and pollination service provision on the one hand, and crop yields and incomes for farmers on the other. © 2023 Elsevier B.V."
"5","Schmidt A.; Kirmer A.; Hellwig N.; Kiehl K.; Tischew S.","Evaluating CAP wildflower strips: High-quality seed mixtures significantly improve plant diversity and related pollen and nectar resources","Flower strips are a fundamental part of agri-environment schemes (AESs) introduced by the European Union to counteract the loss of biodiversity and related ecosystem services in agricultural landscapes. Although vegetation composition of the strips is essential for most fauna groups, comprehensive studies analysing vegetation development and influencing factors are rare. From 2017 to 2019, we investigated the vegetation composition of 40 perennial wildflower strips (WFSs) implemented in 2015 or 2016, and 20 cereal fields without WFS across Saxony-Anhalt, Germany. We analysed environmental factors on plot (cover of grasses, shading, soil fertility) and four landscape-scale levels (habitat diversity, proportion of WFS and open habitats). The provision of nectar and pollen resources was estimated by the newly developed Pollinator Feeding Index (PFI). All strips had been implemented by farmers as AES with species-rich seed mixtures comprising 30 native forbs. In all study years, forb species richness, cover and related nectar and pollen supply were much higher on WFSs than on controls, confirming the effectiveness of this AES. Although sown native forbs contributed the most to the high PFI values, spontaneously established forbs expanded the total range of species considerably, especially in winter and spring. While sown forb communities remained similar over time, spontaneous forbs showed a higher species turnover. Altogether, shading and grass cover had the greatest negative effect on the performance of the sown forbs. Landscape variables had only minor effects and were inconsistent in their importance across scale levels and years. Synthesis and applications. Successfully established perennial wildflower strips (WFSs) sown with species-rich native seed mixtures provided a forb-rich and diverse vegetation throughout the AES funding period of 5 years. By supplying feeding resources for pollinators under various landscape situations, WFSs have significant potential to promote farmland biodiversity and related ecosystem services. We recommend the mandatory use of species-rich wildflower mixtures for perennial flower strips and to avoid their creation in heavily shaded field edges. Advisory services for farmers are necessary to prevent failures in WFS implementation and management and to improve their ecological effectiveness. © 2022 The Authors. Journal of Applied Ecology published by John Wiley & Sons Ltd on behalf of British Ecological Society."
"6","Truong V.-L.; Jeong W.-S.","Hair Growth-Promoting Effects of Rosehip (Rosa canina L.) Seed Oil in C57BL/6 Mice","Rosehip (Rosa canina L.) seeds, a by-product of the food processing industry, contain various bioactive compounds that have potential cosmetic and pharmacological applications. Rosehip seed oil (RHSO) has been shown to exert therapeutic effects in skin disorders, but its role in promoting hair growth remains unknown. In this study, we aimed to elucidate the hair growth-promoting activity of RHSO and the related mechanisms of action. The depleted dorsal skin of telogenic C57BL/6 mice was topically treated with RHSO for 21 days, and the extent of hair regrowth was assessed. The results indicated that RHSO stimulated hair growth by inducing the early transition of hair follicles from telogen to anagen phase. Histological analysis revealed significant increases in hair follicle density, hair bulb size, and skin thickness. RHSO treatment also upregulated the expression of hair growth-associated genes, including β-catenin, phospho-glycogen synthase kinase-3 beta, Sonic hedgehog, smoothened, cyclin D1, cyclin E, and insulin like growth factor 1. These findings suggest that RHSO stimulates hair growth and may show promise as a preventive and/or therapeutic agent for hair loss. © 2023 The Korean Society of Food Science and Nutrition."
"7","Portugal-Baranda T.; Mougeot F.; Ortiz-Santaliestra M.E.; Madeira M.J.; Fernández-Vizcaíno E.; Cabodevilla X.","Metabarcoding reveals seasonal variations in the consumption of crops and weeds by wild Red-legged Partridge Alectoris rufa","The intensification of agriculture is impacting farmland and is recognised as a main driver for biodiversity loss in these environments. Many farmland bird populations have been declining in recent decades because of agricultural intensification. This is the case of the Red-legged Partridge Alectoris rufa, a game bird that inhabits farming landscapes and has recently suffered drastic population declines in Spain. To fully understand the effects that agricultural intensification has on these birds, it is crucial to deepen the knowledge regarding their feeding habits and how these may vary seasonally. The aim of this study was to provide a detailed and reliable description of wild partridges’ plant diet composition. For this purpose, we collected faecal samples from 35 partridge flocks during autumn, winter and spring, and used DNA metabarcoding to identify plants consumed by this species. We used nuclear and chloroplastic barcodes for the amplification of ITS2 and rbcL gene regions, respectively. Our results showed that the diet of partridges was highly diverse, mainly consisting of cereals, weeds and legumes. The most frequently consumed genus was Hordeum, followed by Lolium, Papaver, Medicago and Avena. We further showed that diet composition varied significantly amongst seasons, with a higher proportion of cultivated plants (> 25%) being consumed during autumn and winter. During the cereal sowing period, cropped plants might be consumed as sown seeds, which are often coated with pesticides and could represent an important risk. In spring, before breeding, the diet was mostly composed of weeds. Plants of the Papaver genus could be consumed for anti-parasitic purposes, and as a source of antioxidants and carotenoids to increase ornamental coloration, especially during pairing and laying. Our results highlight the importance of maintaining heterogenous farming landscapes with fallow lands and field margins as sources of weeds to help the conservation of this species. © 2023, Deutsche Ornithologen-Gesellschaft e.V."
"8","Brittain C.; Benke S.; Pecze R.; Potts S.G.; Peris-Felipo F.J.; Vasileiadis V.P.","Flower Margins: Attractiveness over Time for Different Pollinator Groups","Supporting biodiversity in agricultural landscapes is key from both a conservation and ecosystem services perspective. Planting flower margins along crop field edges is one of the most established approaches to try and improve habitat and resources for insect pollinators on farms. Whilst there is growing evidence that these margins can result in increased pollinator abundance and diversity on farms in the short-term, there is little data looking at how these margins perform over longer periods. This study looked at the utilization of pollinator-friendly margins over time in an agricultural landscape in Hungary. ‘Operation Pollinator’ seed mixes with 12 species, were used at 96 farms in Hungary from 2010 to 2018. Insect pollinators were recorded on the sown flower margins and control margins (with naturally occurring vegetation) using walked transects. Repeated sampling of the margins was done over several years so that data was collected on margins from 0 (planted that season) to 7 years old. The abundance of pollinators in the Operation Pollinator flower margins was greater than in control margins for all groups recorded (honey bees, bumble bees, mining bees, trap-nesting bees, hoverflies and Lepidoptera). The biggest relative increase in abundance was in honey bees (768% increase in average abundance in the flower margin compared to the control across all observations), with mining (566%) and bumble bees (414%) showing the next largest increases. The abundance of bumble bees, trap-nesting bees and Lepidoptera in the margins did not vary with the age of the margin. Honey bees, mining bees and hoverflies all decreased in abundance with increasing margin age, as did flower abundance. The results suggest that for some pollinator groups, regardless of age, flower margins provide important resources in the agricultural landscape. However, this is not universally true and for certain pollinator groups, some re-sowing of the margins may be needed to sustain longer-term benefits. © 2022 by the authors."
"9","Schoch K.; Tschumi M.; Lutter S.; Ramseier H.; Zingg S.","Competition and Facilitation Effects of Semi-Natural Habitats Drive Total Insect and Pollinator Abundance in Flower Strips","Flower strips are an effective agri-environmental measure to promote functional biodiversity and ecosystem services in agricultural landscapes. In particular, tailored annual flower strips are increasingly implemented to foster insect pollination and biological pest control. While positive effects of flower strips on service providers and associated ecosystem services were recently demonstrated, little is known about how their effectiveness is affected by the surrounding landscape. We investigated how landscape composition and configuration, as well as flower strip traits influence the abundance of all insects, pollinators and natural enemies in 74 annual flower strips across 7 years (2014–2020). Landscape characteristics such as crop diversity, mean field size, area, and quality of semi-natural farmland habitats were assessed in a 1-km radius surrounding flower strips and combined with flower strip traits such as size, flower coverage, and flowering plant species richness to model insect abundance and diversity. Total insect and pollinator abundance, as well as wild bee abundance, richness, and diversity in flower strips were negatively affected by the share of semi-natural farmland habitats in the surrounding landscape, suggesting a dilution effect. On the other hand, semi-natural habitats with elevated ecological quality (i.e., biodiversity promotion areas with high botanical and structural diversity) enhanced total insect and pollinator abundance in flower strips. Furthermore, pollinator abundance and wild bee abundance in specific were positively affected by the flower coverage of the strips. Our results therefore suggest simultaneous competition and facilitation effects of semi-natural habitats on the landscape scale depending on their ecological quality. Annual flower strips will therefore be most effective in fostering services in landscapes of moderate to low complexity but with a high share of semi-natural habitats with increased ecological quality. For additional benefits for pollinator and wild bee abundance, flower strips should be designed to yield high flower cover. Our study thus highlights the importance of quality of ecological infrastructure and provides recommendations to maximize ecosystem services and biodiversity by means of flower strips at the landscape scale. Copyright © 2022 Schoch, Tschumi, Lutter, Ramseier and Zingg."
"10","Sydenham M.A.K.; Venter Z.S.; Eldegard K.; Torvanger M.S.; Nowell M.S.; Hansen S.; Øverland J.I.; Dupont Y.L.; Rasmussen C.; Skrindo A.B.; Rusch G.M.","The contributions of flower strips to wild bee conservation in agricultural landscapes can be predicted using pollinator habitat suitability models","Sowing flower strips along field edges is a widely adopted method for conserving pollinating insects in agricultural landscapes. To maximize the effect of flower strips given limited resources, we need spatially explicit tools that can prioritize their placement, and for identifying plant species to include in seed mixtures. We sampled bees and plant species as well as their interactions in a semi-controlled field experiment with roadside/field edge pairs with/without a sown flower strip at 31 sites in Norway and used a regional spatial model of solitary bee species richness to test if the effect of flower strips on bee species richness was predictable from the modelled solitary bee species richness. We found that sites with flower strips were more bee species rich compared to sites without flower strips and that this effect was greatest in areas that the regional solitary bee species richness model had identified to be particularly important for bees. Spatial models revealed that even within small landscapes there were pronounced differences between field edges in the predicted effect of sowing flower strips. Of the plant species that attracted the most bee species, the majority mainly attracted bumblebees and only few species also attracted solitary bees. Considering both the taxonomic diversity of bees and the species richness of bees attracted by plants we suggest that seed mixes containing Hieracium spp. such as Hieracium umbellatum, Pilosella officinarum, Taraxacum spp., Trifolium repens, Lotus corniculatus, Stellaria graminea and Achillea millefolium would provide resources for diverse bee communities in our region. Spatial prediction models of bee diversity can be used to identify locations where flower strips are likely to have the largest effect and can thereby provide managers with an important tool for prioritizing how funding for agri-environmental schemes such as flower strips should be allocated. Such flower strips should contain plant species that are attractive to both solitary and bumblebees, and do not need to be particularly plant species rich as long as the selected plants complement each other. © 2023 The Authors. Ecological Solutions and Evidence published by John Wiley & Sons Ltd on behalf of British Ecological Society."
