"Publication Type","Authors","Book Authors","Group Authors","Book Group Authors","Researcher Ids","ORCIDs","Book Editors","Author - Arabic","Grant Principal Investigator","Grant Co Principal Investigator","Article Title","Article Title - SciELO...13","Article Title - SciELO...14","Article Title - Chinese","Article Title - Russian","Patent Number","Patent Assignee","Source Title - Arabic","Source Title","Source Title - Korean","Book Series Title","Book Series Subtitle","Volume","Issue","Special Issue","Meeting Abstract","Start Page","End Page","Article Number","Version","Version History","DOI","Book DOI","License Name","License URI","License Description","Early Access Date","Supplement","Document Type","Publication Date","Publication Year","Abstract","Abstract - Foreign...44","Abstract - English Transliteration","Abstract - Foreign...46","Abstract - Korean","Conference Title","Conference Date","Conference Sponsor","Conference Location","Times Cited, WoS Core","Times Cited, CSCD","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases","180 Day Usage Count","Since 2013 Usage Count","ISSN","eISSN","ISBN","Grant Number","No of References","Cited References","Language","Advisor","Committee Member","Copyright","Degree Name","Institution Address","Institution","Dissertation and Thesis Subjects","Author Keywords","Indexed Date","UT (Unique ID)","Pubmed Id","...79"
"J","Campbell, J. W.; Kimmel, C. B.; Bammer, M.; Stanley-Stahr, C.; Daniels, J. C.; Ellis, J. D.",NA,NA,NA,"Jaret, Daniels/AAY-2404-2020; Ellis, James D/L-7985-2013","Campbell, Josh/0000-0001-9314-9119; Ellis, James/0000-0003-0318-8646",NA,NA,NA,NA,"Managed and Wild Bee Flower Visitors and Their Potential Contribution to Pollination Services of Low-Chill Highbush Blueberry (Vaccinium corymbosum L.; Ericales: Ericaceae)",NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF ECONOMIC ENTOMOLOGY",NA,NA,NA,"111","5",NA,NA,"2011","2016",NA,NA,NA,"10.1093/jee/toy215",NA,NA,NA,NA,NA,NA,"Article","OCT 2018",2018,"Highbush blueberry (Vaccinium corymbosum L.; Ericales: Ericaceae) is an important crop grown throughout the eastern United States and Canada. Cross-pollination by insects greatly enhances pollination and fruit set in highbush blueberry. In Florida, low-chill cultivars that flower during the winter when most bees are dormant are used, thus, making it difficult to utilize and depend on unmanaged bees. We investigated flower visitation rates by managed and wild bees and the subsequent berry formation, berry weight, and number of seeds/berry in highbush blueberry fields in north-central Florida. Additionally, we tested three pollinator treatments: 1) pollinator-excluded flowers, 2) open-pollinated treatments that were available to managed and wild bees, and 3) flowers that were hand pollinated. Overall, we found seven native bee species that contribute to highbush blueberry pollination in Florida, but managed honey bees and bumble bees were the main flower visitors. Additionally, 14.5 times more blueberries formed in the open treatments than in the pollinator exclusion treatments, thus illustrating the economic impact bees have on blueberry pollination. Most of the wild bees observed visiting blueberry flowers were ground-nesting species that need uncultivated areas for nesting sites.Therefore, leaving field edges uncultivated and some undisturbed habitat may increase native bee numbers within blueberry farms over time.",NA,NA,NA,NA,NA,NA,NA,NA,13,0,0,0,11,0,16,NA,NA,"0022-0493","1938-291X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Florida, Entomol & Nematol Dept, Steinmetz Hall,Nat Area Dr, Gainesville, FL 32611 USAFlorida Museum Nat Hist, McGuire Ctr Lepidoptera & Biodivers, 3215 Hull Rd,POB 112710, Gainesville, FL 32611 USA","Florida Museum Nat Hist",NA,NA,"2018-12-28","WOS:000446164200002",30010801,NA
"J","Venturini, Eric M.; Drummond, Francis A.; Hoshide, Aaron K.; Dibble, Alison C.; Stack, Lois B.",NA,NA,NA,"Hoshide, Aaron Kinyu/Q-4003-2018","Hoshide, Aaron Kinyu/0000-0001-6222-2475",NA,NA,NA,NA,"Pollination reservoirs for wild bee habitat enhancement in cropping systems: a review",NA,NA,NA,NA,NA,NA,NA,"AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS",NA,NA,NA,"41","2",NA,NA,"101","142",NA,NA,NA,"10.1080/21683565.2016.1258377",NA,NA,NA,NA,NA,NA,"Review","2017",2017,"Pollinator-dependent growers seek alternative pollination models as pollination-security concerns grow. Pollination reservoirs, set-aside bee foraging areas, may offer growers a practical tool for increasing wild bee populations and decreasing reliance on managed bees. We review the literature on pollination reservoirs regarding a) effectiveness, b) reservoir-to-crop ratios, and c) costs and benefits. We discuss the relevant aspects of d) plant-pollinator relationships, e) landscape context, f) wild bees as pollinators, g) flower selection, and h) limitations. Recent research clearly suggests that pollination reservoirs can increase wild bee populations, crop yield, and profit. Last, we identify gaps that require additional research.",NA,NA,NA,NA,NA,NA,NA,NA,58,0,0,0,45,0,70,NA,NA,"2168-3565","2168-3573",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Maine, Sch Biol & Ecol, 5722 Deering Hall, Orono, ME 04469 USAUniv Maine, Univ Maine Cooperat Extens, Orono, ME 04469 USAUniv Maine, Sch Econ, Orono, ME 04469 USAUniv Maine, Sch Food & Agr, Orono, ME 04469 USA",NA,NA,NA,"2017-01-01","WOS:000395064200002",NA,NA
"J","Main, Anson R.; Webb, Elisabeth B.; Goyne, Keith W.; Mengel, Doreen",NA,NA,NA,"Main, Anson/AAP-5899-2020","Webb, Lisa/0000-0003-3851-6056",NA,NA,NA,NA,"Reduced species richness of native bees in field margins associated with neonicotinoid concentrations in non-target soils",NA,NA,NA,NA,NA,NA,NA,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",NA,NA,NA,"287",NA,NA,NA,NA,NA,"106693",NA,NA,"10.1016/j.agee.2019.106693",NA,NA,NA,NA,NA,NA,"Article","JAN 1 2020",2020,"Native bees are in decline as many species are sensitive to habitat loss, climate change, and non-target exposure to synthetic pesticides. Recent laboratory and semi-field assessments of pesticide impacts on bees have focused on neonicotinoid insecticides. However, field studies evaluating influences of neonicotinoid seed treatments on native bee communities of North America are absent from the literature. On four Conservation Areas of Missouri, we sampled row-cropped (treated, n = 15) and reference (untreated, n = 9) agricultural fields, and their surrounding field margins for neonicotinoids in soil and non-target vegetation (i.e., native wildflowers). Wildflowers were further collected and screened for the presence of fungicides. Concurrently, we sampled native bees over three discrete time points throughout the agricultural growing season to assess potential impacts of seed treatment use on local bee populations over time. Neonicotinoids were detected in 87% to 100% of treated field soils and 22% to 56% of reference field soils. In adjacent field margin soils, quantifiable concentrations were measured near treated (53% to 93% detection) and untreated fields (33% to 56% detection). Fungicides were detected in < 40% of wildflowers, whereas neonicotinoids were rarely detected in field margin vegetation (< 7%). Neonicotinoid concentrations in margin soils were negatively associated with native bee richness (beta = -0.21, P < 0.05). Field margins with a combination of greater neonicotinoid concentrations in soil and fungicides in wildflowers also contained fewer wild bee species (beta = -0.21, P < 0.001). By comparison, bee abundance was positively influenced by the number of wildflower species in bloom with no apparent impact of pesticides. Results of this study indicate that neonicotinoids in soil are a potential route of exposure for pollinator communities, specifically ground-nesting species. Importantly, native bee richness in non-target field margins may be negatively affected by the use of neonicotinoid seed treatments in agroecosystems.",NA,NA,NA,NA,NA,NA,NA,NA,42,0,0,0,33,0,50,NA,NA,"0167-8809","1873-2305",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Missouri, Sch Nat Resources, Columbia, MO USAUS Geol Survey, Missouri Cooperat Res Unit, Columbia, MO USAMissouri Dept Conservat, Resource Sci Div, Columbia, MO USACalif Environm Protect Agcy, Dept Pesticide Regulat, Sacramento, CA 95812 USAVirginia Tech, Dept Forest Resources & Environm Conservat, Blacksburg, VA USA",NA,NA,NA,"2019-12-13","WOS:000500216600013",NA,NA
"J","Burkle, Laura A.; Delphia, Casey M.; O'Neill, Kevin M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Redundancy in wildflower strip species helps support spatiotemporal variation in wild bee communities on diversified farms",NA,NA,NA,NA,NA,NA,NA,"BASIC AND APPLIED ECOLOGY",NA,NA,NA,"44",NA,NA,NA,"1","13",NA,NA,NA,"10.1016/j.baae.2020.02.005",NA,NA,NA,NA,NA,NA,"Article","MAY 2020",2020,"Wildflower strips are a management practice increasingly used to provide floral resources to wild bees in agroecosystems. Yet, despite known spatiotemporal variation in wild bee communities, the degree to which different wildflower strip species consistently support wild bee communities is poorly understood. Additionally, whether such consistency is related to the functional roles wildflower species play (e.g., in supporting diverse, rare, or unique suites of bee species) has not been considered. Over three years and on four diversified farms, we evaluated spatiotemporal variation in wild bee communities and bee-flower interactions in wildflower strips to better understand the roles of flower strip species in supporting bees. We documented spatiotemporal variation in the abundance, richness, and composition of local wild bee communities. Certain wildflower species consistently supported the highest richness of wild bees across years. These wildflower species were regularly core members of the bee-flower interaction network, visited by both generalist and specialist bees. By contrast, wildflower species supporting the most unique suites of bees were variable in this role among farms. In order to select plant species for wildflower strips that consistently support a high diversity of wild bee communities within farm landscapes, it is useful to consider several different functional roles that plants may play. Whereas a handful of wildflower species may be visited by the majority of local wild bee species, achieving support for the remaining, and perhaps rarer, bee species will require planting additional flower species, which may appear redundant until the spatiotemporal variation in wild bee communities is more thoroughly considered. This functional approach to selecting wildflower species for bee conservation efforts is important for making practical recommendations to land managers and for guiding best management practices in different regions and with diverse management goals. (C) 2020 Gesellschaft fur Okologie. Published by Elsevier GmbH. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,18,0,0,0,16,0,20,NA,NA,"1439-1791","1618-0089",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montana State Univ, Dept Ecol, Bozeman, MT 59717 USAMontana State Univ, Dept Land Resources & Environm Sci, Bozeman, MT 59717 USA",NA,NA,NA,"2020-05-01","WOS:000536871000001",NA,NA
"J","Sardinas, Hillary S.; Kremen, Claire",NA,NA,NA,NA,"Sardinas, Hillary/0000-0001-8575-9558",NA,NA,NA,NA,"Pollination services from field-scale agricultural diversification may be context-dependent",NA,NA,NA,NA,NA,NA,NA,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",NA,NA,NA,"207",NA,NA,NA,"17","25",NA,NA,NA,"10.1016/j.agee.2015.03.020",NA,NA,NA,NA,NA,NA,"Article","SEP 1 2015",2015,"Diversification of field edges is widely used as a strategy to augment pollinator populations and, in turn, supplement crop pollination needs. Hedgerow plantings, a commonly applied field-scale diversification technique, have been shown to increase wild bee richness within edges and into crop fields; however, their effects on pollination services in mass-flowering, pollinator-dependent crops typical of large-scale commercial monocultures are less well-known. We evaluated the indirect contribution of hedgerows to sunflower (Helianthus annuus) seed set vis-a-vis wild bee abundance and the interaction between wild bees and managed honey bee pollinators. Although wild bee species richness and the interaction between wild and managed pollinators were significantly associated with augmented seed set, these factors were unrelated to whether a hedgerow was present. The pollinator species foraging within crop fields differed significantly from those found within adjacent hedgerows and bare or weedy field edges, with hedgerows supporting higher species richness than crop fields or unenhanced edges. However, in an independent data set, greater numbers of sunflower-pollinating bees were found in hedgerows than in control edges. Hedgerows may therefore help these crop-pollinating species persist in the landscape. Our findings suggest that hedgerows may not always simultaneously achieve crop pollination and wild bee conservation goals; instead, the benefits of hedgerows may be crop- and region-specific. We recommend evaluation of hedgerow benefits in a variety of crop and landscape contexts to improve their ability to meet ecosystem-service provisioning needs. (C) 2015 Elsevier B.V. All rights reserved.",NA,NA,NA,NA,NA,NA,NA,NA,63,0,0,0,53,0,78,NA,NA,"0167-8809","1873-2305",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Calif Berkeley, Dept Environm Sci Policy & Management, Berkeley, CA 94720 USA",NA,NA,NA,"2015-09-01","WOS:000356191700003",NA,NA
"J","Wu, Panlong; Axmacher, Jan C.; Li, Xuedong; Song, Xiao; Yu, Zhenrong; Xu, Huanli; Tscharntke, Teja; Westphal, Catrin; Liu, Yunhui",NA,NA,NA,"Westphal, Catrin/F-9560-2015; Axmacher, Jan/C-4412-2008; li, xuedong/JYP-4367-2024","Westphal, Catrin/0000-0002-2615-1339; Axmacher, Jan/0000-0003-1406-928X;",NA,NA,NA,NA,"Contrasting effects of natural shrubland and plantation forests on bee assemblages at neighboring apple orchards in Beijing, China",NA,NA,NA,NA,NA,NA,NA,"BIOLOGICAL CONSERVATION",NA,NA,NA,"237",NA,NA,NA,"456","462",NA,NA,NA,"10.1016/j.biocon.2019.07.029",NA,NA,NA,NA,NA,NA,"Article","SEP 2019",2019,"Wild bees provide important pollination services for crops and wild plants. While land use intensification has resulted in steep declines of wild bee diversity across agricultural landscapes, the creation of semi-natural habitats has been proposed as a counter-measure. However, the relative value of semi-natural and natural habitats in promoting wild bees has rarely been studied, especially for China that harbors the world's largest plantation forest area, characterized by intensively managed, mono-dominant stands of wind-pollinated tree species. We sampled wild bees in apple orchards to assess how their assemblages were influenced by semi-natural habitats in the surrounding landscape and the local flowering ground-cover. Bee abundance declined with increasing isolation from natural shrubland. In contrast, wild bee diversity and abundance were negatively linked to plantation forests. For the abundance of large bees, this effect was partly ameliorated by local flowering groundcover. Maintaining or restoring wild bee assemblages in agricultural landscapes therefore requires careful evaluations of restoration measures such as forest planting. Availability of local flower resources and nearby natural shrubland appeared particularly important to enhance wild bees and their potential services in apple orchards.",NA,NA,NA,NA,NA,NA,NA,NA,22,0,0,0,14,0,22,NA,NA,"0006-3207","1873-2917",NA,NA,NA,NA,NA,NA,NA,NA,NA,"China Agr Univ, Beijing Key Lab Biodivers & Organ Farming, Coll Resources & Environm Sci, Beijing 100193, Peoples R ChinaUCL, UCL Dept Geog, London WC1E 6BT, EnglandChina Agr Univ, Coll Plant Protect, Beijing 100193, Peoples R ChinaUniv Gottingen, Dept Crop Sci, Agroecol, D-37077 Gottingen, GermanyUniv Gottingen, Dept Crop Sci, Funct Agrobiodivers, D-37077 Gottingen, Germany",NA,NA,NA,"2019-09-01","WOS:000488314700049",NA,NA
"J","Morrison, Jane; Izquierdo, Jordi; Hernandez Plaza, Eva; Gonzalez-Andujar, Jose L.",NA,NA,NA,"Hernández Plaza, Eva/AAM-7431-2020; Izquierdo, Jordi/H-5436-2011; GONZALEZ-ANDUJAR, JOSE L./G-5671-2013","Hernández Plaza, Eva/0000-0002-2378-2602; Izquierdo, Jordi/0000-0002-3949-1295; GONZALEZ-ANDUJAR, JOSE L./0000-0003-2356-4098",NA,NA,NA,NA,"The role of field margins in supporting wild bees in Mediterranean cereal agroecosystems: Which biotic and abiotic factors are important?",NA,NA,NA,NA,NA,NA,NA,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",NA,NA,NA,"247",NA,NA,NA,"216","224",NA,NA,NA,"10.1016/j.agee.2017.06.047",NA,NA,NA,NA,NA,NA,"Article","SEP 1 2017",2017,"Agricultural field margins are often recommended as a cost-effective and efficient method for wild bee conservation, in response to the threat imposed by global pollinator declines as a result of intensive agricultural practices. In this study we compared margin characteristics and wild bee community structure from sites with landscapes of varying agricultural intensity in order to (i) investigate if field margins are valuable for wild bee conservation in all types of landscapes, and (ii) determine which biotic and abiotic margin characteristics best support wild bee abundance and community richness. Margin surveys and wild bee community sampling, comprising, pan traps and observations of foraging activity, were carried out over three years at 27 cereal field margins in Catalonia, Spain. Generalized 'linear models indicated a strong inverse relationship between surrounding landscape diversity and wild bee abundance. The proportion of Halictidae bees (common generalists) increased with decreasing landscape complexity. Floral richness exhibited a positive association with number of foraging bees and morphospecies richness, and was positively correlated with the proportion of shrubs and trees represented in the margins. It was observed that wider margins held a higher proportion of perennial plants and a lower proportion of Halictidae bees. Our study suggests that field margins are more crucial in intensively farmed areas than in heterogeneous landscapes where foraging resources are more abundant. Maintaining wide margins with high flowering plant richness, comprising perennial and shrub species, best supports a dense and diverse bee community. In more diverse landscapes, conservation efforts focused on maintaining the quality of existing natural patches may be most effective.",NA,NA,NA,NA,NA,NA,NA,NA,34,0,0,0,29,1,36,NA,NA,"0167-8809","1873-2305",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Politecn Cataluna, Dept Engn Agroalimentaria & Biotecnol, Campus Baix Llobregat,C Esteve Terradas 8, Castelldefels 08860, SpainInst Agr Sostenible CSIC, Avda Menendez Pelayo S-N,Campus Alameda Obispo, Cordoba 14004, Spain",NA,NA,NA,"2017-09-01","WOS:000408597800024",NA,NA
"J","Ahrenfeldt, E. J.; Klatt, B. K.; Arildsen, J.; Trandem, N.; Andersson, G. K. S.; Tscharntke, T.; Smith, H. G.; Sigsgaard, L.",NA,NA,NA,"Andersson, Georg/AAD-5985-2021; Sigsgaard, Lene/F-7182-2014; Sigsgaard, Lene/GQQ-6286-2022; Tscharntke, Teja/N-5123-2014","Andersson, Georg/0000-0002-9669-6895; Sigsgaard, Lene/0000-0001-6478-5079; Sigsgaard, Lene/0000-0001-6478-5079; Smith, Henrik/0000-0002-2289-889X; Trandem, Nina/0000-0002-4249-8092; Klatt, Bjorn Kristian/0000-0001-8241-6445",NA,NA,NA,NA,"Pollinator communities in strawberry crops - variation at multiple spatial scales",NA,NA,NA,NA,NA,NA,NA,"BULLETIN OF ENTOMOLOGICAL RESEARCH",NA,NA,NA,"105","4",NA,NA,"497","506",NA,NA,NA,"10.1017/S000748531500036X",NA,NA,NA,NA,NA,NA,"Article","AUG 2015",2015,"Predicting potential pollination services of wild bees in crops requires knowledge of their spatial distribution within fields. Field margins can serve as nesting and foraging habitats for wild bees and can be a source of pollinators. Regional differences in pollinator community composition may affect this spill-over of bees. We studied how regional and local differences affect the spatial distribution of wild bee species richness, activity-density and body size in crop fields. We sampled bees both from the field centre and at two different types of semi-natural field margins, grass strips and hedges, in 12 strawberry fields. The fields were distributed over four regions in Northern Europe, representing an almost 1100 km long north-south gradient. Even over this gradient, daytime temperatures during sampling did not differ significantly between regions and did therefore probably not impact bee activity. Bee species richness was higher in field margins compared with field centres independent of field size. However, there was no difference between centre and margin in body-size or activity-density. In contrast, bee activity-density increased towards the southern regions, whereas the mean body size increased towards the north. In conclusion, our study revealed a general pattern across European regions of bee diversity, but not activity-density, declining towards the field interior which suggests that the benefits of functional diversity of pollinators may be difficult to achieve through spillover effects from margins to crop. We also identified dissimilar regional patterns in bee diversity and activity-density, which should be taken into account in conservation management.",NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,4,0,9,NA,NA,"0007-4853","1475-2670",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Copenhagen, Fac Sci, Dept Plant & Environm Sci, DK-1871 Frederiksberg C, DenmarkUniv Gottingen, Agroecol, D-37077 Gottingen, GermanyLund Univ, Dept Biol, S-22362 Lund, SwedenLund Univ, Ctr Environm & Climate Res, S-22362 Lund, SwedenNorwegian Inst Agr & Environm Res Bioforsk, N-1432 As, Norway",NA,NA,NA,"2015-09-16","WOS:000360286600015",25908227,NA
"J","Delphia, Casey M.; O'Neill, Kevin M.; Burkle, Laura A.",NA,NA,NA,NA,"Delphia, Casey/0000-0003-0037-2210",NA,NA,NA,NA,"Wildflower Seed Sales as Incentive for Adopting Flower Strips for Native Bee Conservation: A Cost-Benefit Analysis.",NA,NA,NA,NA,NA,NA,NA,"Journal of Economic Entomology",NA,NA,NA,"112","6",NA,NA,"2534","2544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Article","Dec 2019",2019,"Improving pollinator habitat on farmlands is needed to further wild bee conservation and to sustain crop pollination in light of relationships between global declines in pollinators and reductions in floral resources. One management strategy gaining much attention is the use of wildflower strips planted alongside crops to provide supplemental floral resources for pollinators. However, farmer adoption of pollinator-friendly strategies has been minimal, likely due to uncertainty about costs and benefits of providing non-crop flowering plants for bees. Over 3 yr, on four diversified farms in Montana, United States, we estimated the potential economic profit of harvesting and selling wildflower seeds collected from flower strips implemented for wild bee conservation, as an incentive for farmers to adopt this management practice. We compared the potential profitability of selling small retail seed packets versus bulk wholesale seed. Our economic analyses indicated that potential revenue from retail seed sales exceeded the costs associated with establishing and maintaining wildflower strips after the second growing season. A wholesale approach, in contrast, resulted in considerable net economic losses. We provide proof-of-concept that, under retail scenarios, the sale of native wildflower seeds may provide an alternative economic benefit that, to our knowledge, remains unexplored. The retail seed-sales approach could encourage greater farmer adoption of wildflower strips as a pollinator-conservation strategy in agroecosystems. The approach could also fill a need for regionally produced, native wildflower seed for habitat restoration and landscaping aimed at conserving native plants and pollinators.",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,"0022-0493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montana State Univ, Dept Ecol, Bozeman, MT, 59717, USA",NA,NA,NA,"2019-12-01","ZOOREC:ZOOR15605031291",NA,NA
"J","Kratschmer, Sophie; Pachinger, Baerbel; Schwantzer, Martina; Paredes, Daniel; Guzman, Gema; Gomez, Jose A.; Entrenas, Jose A.; Guernion, Muriel; Burel, Francoise; Nicolai, Annegret; Fertil, Albin; Popescu, Daniela; Macavei, Laura; Hoble, Adela; Bunea, Claudiu; Kriechbaum, Monika; Zaller, Johann G.; Winter, Silvia",NA,NA,NA,"Hoble, Adela/E-4639-2016; Daniela, Popescu/AAB-4621-2019; de León, José Antonio Entrenas/AAQ-5054-2021; Zaller, Johann G./A-9914-2009; Bunea, Claudiu/AAA-1840-2021; Hoble, Adela/AAA-6824-2022; Paredes, Daniel/A-2183-2009; Guzmán, Gema/N-6917-2019; Kratschmer, Sophie/AAD-4143-2020; Winter, Silvia/Q-8730-2017","Hoble, Adela/0000-0002-0373-5550; Daniela, Popescu/0000-0001-5238-3697; Zaller, Johann G./0000-0001-7744-7378; Paredes, Daniel/0000-0002-2681-2256; Guzmán, Gema/0000-0002-6616-5815; Entrenas, Jose Antonio/0000-0003-2251-5702; Winter, Silvia/0000-0002-8322-7774; Kratschmer, Sophie/0000-0002-6538-694X; Macavei, Laura/0000-0003-1260-8390",NA,NA,NA,NA,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",NA,NA,NA,NA,NA,NA,NA,"ECOLOGY AND EVOLUTION",NA,NA,NA,"9","7",NA,NA,"4103","4115",NA,NA,NA,"10.1002/ece3.5039",NA,NA,NA,NA,NA,NA,"Article","APR 2019",2019,"Agricultural intensification is a major driver of wild bee decline. Vineyards may be inhabited by plant and animal species, especially when the inter-row space is vegetated with spontaneous vegetation or cover crops. Wild bees depend on floral resources and suitable nesting sites which may be found in vineyard inter-rows or in viticultural landscapes. Inter-row vegetation is managed by mulching, tillage, and/or herbicide application and results in habitat degradation when applied intensively. Here, we hypothesize that lower vegetation management intensities, higher floral resources, and landscape diversity affect wild bee diversity and abundance dependent on their functional traits. We sampled wild bees semi-quantitatively in 63 vineyards representing different vegetation management intensities across Europe in 2016. A proxy for floral resource availability was based on visual flower cover estimations. Management intensity was assessed by vegetation cover (%) twice a year per vineyard. The Shannon Landscape Diversity Index was used as a proxy for landscape diversity within a 750 m radius around each vineyard center point. Wild bee communities were clustered by country. At the country level, between 20 and 64 wild bee species were identified. Increased floral resource availability and extensive vegetation management both affected wild bee diversity and abundance in vineyards strongly positively. Increased landscape diversity had a small positive effect on wild bee diversity but compensated for the negative effect of low floral resource availability by increasing eusocial bee abundance. We conclude that wild bee diversity and abundance in vineyards is efficiently promoted by increasing floral resources and reducing vegetation management frequency. High landscape diversity further compensates for low floral resources in vineyards and increases pollinating insect abundance in viticulture landscapes.",NA,NA,NA,NA,NA,NA,NA,NA,56,0,0,0,41,0,60,NA,NA,"2045-7758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Univ Nat Resources & Life Sci, Inst Integrat Nat Conservat Res, Vienna, AustriaCSIC, Estn Expt Zaidin, Granada, SpainCSIC, Inst Sustainable Agr, Cordoba, SpainUniv Rennes 1, UMR 6553 EcoBio, Biol Stn Paimpont, Paimpont, FranceUniv Rennes, UMR 6553 EcoBio, CNRS, Rennes, FranceSC JIDVEI SRL, Res Dept, Jidvei, RomaniaUniv Modena & Reggio Emilia, UNIMORE, Modena, ItalyUniv Agr Sci & Vet Med, Cluj Napoca, RomaniaUniv Nat Resources & Life Sci, Inst Zool, Vienna, AustriaUniv Nat Resources & Life Sci, Div Plant Protect, Vienna, Austria","SC JIDVEI SRL",NA,NA,"2019-04-01","WOS:000465089500035",31015991,NA
