CountryCode ,RegionCode,RefCode,Country,Region ,Latitude,Longitude,Precision  ,Comments
BCO001,BS001,B001,Morocco,Settat,33.0000,7.6000,given ,
BCO002,BS002,B002,Spain,Murcia,37.7403,-0.9667,given ,
BCO002,BS002,B002,Spain,Murcia,37.9406,-1.1334,given ,
BCO002,BS002,B002,Spain,Murcia,37.7738,-0.8999,given ,
BCO002,BS003,B003,Spain,Burgos,42.2417,-3.6625,not given ,
BCO002,BS003,B003,Spain,Burgos,42.3722,-4.2431,not given ,
BCO002,BS003,B003,Spain,Burgos,42.1802,-3.9167,not given ,
BCO002,BS003,B003,Spain,Burgos,42.4625,-3.2683,not given ,
BCO002,BS003,B003,Spain,Burgos,41.9728,-3.9678,not given ,
BCO002,BS004,B004,Spain,Cuenca ,40.5217,-2.2879,not given ,
BCO002,BS004,B004,Spain,Cuenca ,39.7928,-2.2042,not given ,
BCO002,BS004,B004,Spain,Cuenca ,39.8503,-2.5378,not given ,
BCO002,BS004,B004,Spain,Cuenca ,39.8042,-2.5244,not given ,
BCO002,BS004,B004,Spain,Cuenca ,39.6431,-2.3450,not given ,
BCO003,BS005,B005,Netherlands,Limburg,50.8200,5.8500,not given 
BCO004,BS006,B006,United States of America,Michigan ,43.7000,-85.5000,not given ,
BCO004,BS007,B006,United States of America,Oregeon ,45.0000,-123.0000,not given ,
BCO004,BS008,B006,United States of America,California,39.0000,-121.7500,not given ,
BCO005,BS009,B007,United Kingdom,Cornwall,50.5926,-4.6374,not given ,
BCO005,BS010,B007,United Kingdom,Worcestershire,52.24575,-2.0438,not given ,
BCO005,BS011,B007,United Kingdom,Cambridgeshire,52.38215,0.3506,not given ,
BCO006,BS012,B008,Chile,Casablanca Valley,-33.7000,-71.000,given ,
BCO004,BS006,B009,United States of America,Michigan ,42.2418,-85.8910,not given ,
BCO004,BS006,B009,United States of America,Michigan ,42.5910,-85.8910,not given ,
BCO004,BS006,B009,United States of America,Michigan ,42.9595,-86.0872,not given ,
BCO004,BS006,B009,United States of America,Michigan ,41.9634,-86.5589,not given ,
BCO004,BS006,B009,United States of America,Michigan ,43.6347,-86.3565,not given ,
BCO004,BS006,B009,United States of America,Michigan ,45.0734,-85.7614,not given ,
BCO007,BS013,B010,Sweden,Skane,55.9903,13.5954,not given ,
BCO007,BS014,B010,Sweden,Östergötland,58.4108,15.6214,not given ,
BCO004,BS008,B011,United States of America,California,38.5798,-121.5007,not given, 
BCO008,BS015,B012,Switzerland,Bern,46.9480,7.4474,not given ,
BCO008,BS016,B012,Switzerland,Zurich,47.3769,8.5417,not given ,
BCO008,BS017,B012,Switzerland,Solothurn,47.2088,7.5323,not given ,
BCO008,BS018,B012,Switzerland,Aargau,47.4083,8.0640,not given ,
BCO004,BS008,B013,United States of America,California,38.7646,-121.9018,not given,
BCO009,BS019,B014,Canada,British Columbia ,53.7267,-127.6476,not given ,
BCO004,BS006,B015,United States of America,Michigan ,42.1000,-86.5000,not given ,
BCO004,BS008 ,B016,United States of America,California,36.5000,119.5000,not given ,
BCO010,BS020,B017,Germany,Gottingen,51.5401,9.9326,not given ,
BCO011,BS021,B017,Denmark,Slagelse,55.4020,11.3546,not given ,
BCO012,BS022,B017,Norway,Frogn,59.7101,10.6550,not given ,
BCO012,BS023,B017,Norway,Valldal ,62.1539,7.2699,not given ,
BCO002,BS024,B018,Spain,Castilla-La Mancha,39.2796,-3.0977,not given ,
BCO004,BS008,B019,United States of America,California,38.825,-122.0927,not given, 
BCO002,BS025,B020,Spain,Arganda del Rey,40.3167,-3.4833,given,
BCO002,BS026,B020,Spain,Toledo,39.7500,-3.1833,given,
BCO006,BS027 ,B021,Chile,Valparaíso,-33.8,-71.000,given ,
BCO013,BS029,B022,Kenya,Murang’a,-0.98363,37.2461,given,
BCO014,BS030,B023 ,Ireland,republic of ireland ,53.3004,-7.0284,not given ,
BCO004,BS006,B024,United States of America,Michigan ,42.4077,-86.1102,given,
BCO004,BS006,B024,United States of America,Michigan ,42.2579,-86.2310,given,
BCO004,BS006,B024,United States of America,Michigan ,42.8851,-86.1536,given,
BCO004,BS006,B024,United States of America,Michigan ,42.8704,-86.1257,given ,
BCO015 ,BS031,B025,Thailand,Central,13.6667,100.1583,not given, 
