RefCode ;Country
B001;Morocco
B002;Spain
B003;Spain
B004;Spain
B005;Netherlands
B006;United States of America
B007;United Kingdom
B008;Chile
B009;United States of America
B010;Sweden
B011;United States of America
B012;Switzerland
B013;United States of America
B014;Canada
B015;United States of America
B016;United States of America
B017;Germany
B017;Denmark
B017;Norway
B018;Spain
B019;United States of America
B020;Spain
B021;Chile
B022;Kenya
B023;Ireland
B024;United States of America
B025;Thailand
B026;Germany
B027;Canada
B028;France
B029;Japan
B030;United States of America
B031;United States of America
B032;United Kingdom
B033;United States of America
B034;Germany
