RefCode;Reference;Publication;Type;CitationNumber;DOI;Journal 
B001;Bencharki, Y., Christmann, S., Lhomme, P., Ihsane, O., Sentil, A., El Abdouni, I., Hamroud, L., Rasmont, P., & Michez, D. (2023). “Farming with alternative pollinators” approach supports diverse and abundant pollinator community in melon fields in a semi-arid landscape. Renewable Agriculture and Food Systems, 38. https://doi.org/10.1017/S1742170522000394;19/12/2022;article ;2;https://doi.org/10.1017/S1742170522000394;Renewable Agriculture and Food Systems
B002;Pérez-Marcos, M., Ortiz-Sánchez, F. J., López-Gallego, E., Ibáñez, H., Carrasco, A., & Sanchez, J. A. (2023). Effects of Managed and Unmanaged Floral Margins on Pollination Services and Production in Melon Crops. Insects, 14(3). https://doi.org/10.3390/insects14030296;20/03/2023;article ;2;https://doi.org/10.3390/insects14030296;Insects
B003;Mota, L., Hevia, V., Rad, C., Alves, J., Silva, A., González, J. A., Ortega-Marcos, J., Aguado, O., Alcorlo, P., Azcárate, F. M., Chapinal, L., López, C. A., Loureiro, J., Marks, E. A. N., Siopa, C., Sousa, J. P., & Castro, S. (2022). Flower strips and remnant semi-natural vegetation have different impacts on pollination and productivity of sunflower crops. Journal of Applied Ecology, 59(9). https://doi.org/10.1111/1365-2664.14241;26/07/2022;article ;6;https://doi.org/10.1111/1365-2664.14241;Journal of Applied Ecology
B004;Ortega-Marcos, J., Hevia, V., García-Nieto, A. P., & González, J. A. (2022). Installing Flower Strips to Promote Pollinators in Simplified Agricultural Landscapes: Comprehensive Viability Assessment in Sunflower Fields. Land, 11(10). https://doi.org/10.3390/Land11101720;04/10/2022;article ;0;https://doi.org/10.3390/Land11101720;Land
B005;Bishop, G. A., Fijen, T. P. M., Desposato, B. N., Scheper, J., & Kleijn, D. (2023). Hedgerows have contrasting effects on pollinators and natural enemies and limited spillover effects on apple production. Agriculture, Ecosystems and Environment, 346. https://doi.org/10.1016/j.agee.2023.108364;15/04/2023;article ;10;https://doi.org/10.1016/j.agee.2023.108364;Agriculture, Ecosystems and Environment
B006;Nicholson, C. C., Ward, K. L., Williams, N. M., Isaacs, R., Mason, K. S., Wilson, J. K., Brokaw, J., Gut, L. J., Rothwell, N. L., Wood, T. J., Rao, S., Hoffman, G. D., Gibbs, J., Thorp, R. W., & Ricketts, T. H. (2020). Mismatched outcomes for biodiversity and ecosystem services: testing the responses of crop pollinators and wild bee biodiversity to habitat enhancement. In Ecology Letters (Vol. 23, Issue 2). https://doi.org/10.1111/ele.13435;04/12/2019;article ;36;https://doi.org/10.1111/ele.13435;Ecology Letters
B007;Knapp, J. L., Shaw, R. F., & Osborne, J. L. (2019). Pollinator visitation to mass-flowering courgette and co-flowering wild flowers: Implications for pollination and bee conservation on farms. Basic and Applied Ecology, 34. https://doi.org/10.1016/j.baae.2018.09.003;25/09/2019;article ;12;https://doi.org/10.1016/j.baae.2018.09.003;Basic and Applied Ecology
B008;Muñoz, A. E., Plantegenest, M., Amouroux, P., & Zaviezo, T. (2021). Native flower strips increase visitation by non-bee insects to avocado flowers and promote yield. Basic and Applied Ecology, 56. https://doi.org/10.1016/j.baae.2021.08.015;03/09/2021;article ;13;https://doi.org/10.1016/j.baae.2021.08.015;Basic and Applied Ecology
B009;Wood, T. J., Gibbs, J., Rothwell, N., Wilson, J. K., Gut, L., Brokaw, J., & Isaacs, R. (2018). Limited phenological and dietary overlap between bee communities in spring flowering crops and herbaceous enhancements. Ecological Applications, 28(7). https://doi.org/10.1002/eap.1789;05/09/2018;article ;19;https://doi.org/10.1002/eap.1789;Ecological Applications
B010 ;Rundlöf, M., Lundin, O., & Bommarco, R. (2018). Annual flower strips support pollinators and potentially enhance red clover seed yield. Ecology and Evolution, 8(16). https://doi.org/10.1002/ece3.4330;16/07/2018;article ;45;https://doi.org/10.1002/ece3.4330;Ecology and Evolution
B011;Sardiñas, H. S., & Kremen, C. (2015). Pollination services from field-scale agricultural diversification may be context-dependent. Agriculture, Ecosystems and Environment, 207. https://doi.org/10.1016/j.agee.2015.03.020;30/03/2015;article ;70;https://doi.org/10.1016/j.agee.2015.03.020;Agriculture, Ecosystems and Environment
B012;Ganser, D., Mayr, B., Albrecht, M., & Knop, E. (2018). Wildflower strips enhance pollination in adjacent strawberry crops at the small scale. Ecology and Evolution, 8(23). https://doi.org/10.1002/ece3.4631;06/11/2018;article ;33;https://doi.org/10.1002/ece3.4631;Ecology and Evolution
B013;Morandin, L. A., Long, R. F., & Kremen, C. (2016). Pest control and pollination cost-benefit analysis of hedgerow restoration in a simplified agricultural landscape. Journal of Economic Entomology, 109(3). https://doi.org/10.1093/jee/tow086;11/05/2016;article ;102;https://doi.org/10.1093/jee/tow086;Journal of Economic Entomology
B014;Button, L., & Elle, E. (2014). Wild bumble bees reduce pollination deficits in a crop mostly visited by managed honey bees. Agriculture, Ecosystems and Environment, 197. https://doi.org/10.1016/j.agee.2014.08.004;16/08/2014;article ;34;https://doi.org/10.1016/j.agee.2014.08.004;Agriculture, Ecosystems and Environment
B015 ;Blaauw, B. R., & Isaacs, R. (2014). Flower plantings increase wild bee abundance and the pollination services provided to a pollination-dependent crop. Journal of Applied Ecology, 51(4). https://doi.org/10.1111/1365-2664.12257;26/03/2014;article ;426;https://doi.org/10.1111/1365-2664.12257;Journal of Applied Ecology
B016 ;Morandin, L. A., & Kremen, C. (2013). Hedgerow restoration promotes pollinator populations and exports native bees to adjacent fields. Ecological Applications, 23(4). https://doi.org/10.1890/12-1051.1;01/06/2013;article ;280;https://doi.org/10.1890/12-1051.1;Ecological Applications
B017;Ahrenfeldt, E. J., Klatt, B. K., Arildsen, J., Trandem, N., Andersson, G. K. S., Tscharntke, T., Smith, H. G., & Sigsgaard, L. (2015). Pollinator communities in strawberry crops-variation at multiple spatial scales. Bulletin of Entomological Research, 105(4). https://doi.org/10.1017/S000748531500036X;24/04/2015;article ;11;https://doi.org/10.1017/S000748531500036X;Bulletin of Entomological Research
B018;Hevia, V., Carmona, C. P., Azcárate, F. M., Heredia, R., & González, J. A. (2021). Role of floral strips and semi-natural habitats as enhancers of wild bee functional diversity in intensive agricultural landscapes. Agriculture, Ecosystems and Environment, 319. https://doi.org/10.1016/j.agee.2021.107544;13/06/2021;article ;12;https://doi.org/10.1016/j.agee.2021.107544;Agriculture, Ecosystems and Environment
B019 ;Klein, A. M., Brittain, C., Hendrix, S. D., Thorp, R., Williams, N., & Kremen, C. (2012). Wild pollination services to California almond rely on semi-natural habitat. Journal of Applied Ecology, 49(3). https://doi.org/10.1111/j.1365-2664.2012.02144.x;27/04/2012;article ;204;https://doi.org/10.1111/j.1365-2664.2012.02144.x;Journal of Applied Ecology
B020 ;Azpiazu, C., Medina, P., Adán, Á., Sánchez-Ramos, I., del Estal, P., Fereres, A., & Viñuela, E. (2020). The role of annual flowering plant strips on a melon crop in central Spain. Influence on pollinators and crop. Insects, 11(1). https://doi.org/10.3390/insects11010066;20/01/2020;article ;18;https://doi.org/10.3390/insects11010066;Insects
B021;Muñoz, A. E., Amouroux, P., & Zaviezo, T. (2021). Native flowering shrubs promote beneficial insects in avocado orchards. Agricultural and Forest Entomology, 23(4). https://doi.org/10.1111/afe.12447;30/04/2021;article ;9;https://doi.org/10.1111/afe.12447;Agricultural and Forest Entomology
B022;Toukem, N. K., Dubois, T., Mohamed, S. A., Lattorff, H. M. G., Jordaens, K., & Yusuf, A. A. (2023). The effect of annual flower strips on pollinator visitation and fruit set of avocado (Persea americana Mill.) in Kenya. Arthropod-Plant Interactions, 17(1). https://doi.org/10.1007/s11829-022-09939-4;05/12/2022;article ;1;https://doi.org/10.1007/s11829-022-09939-4;Arthropod-Plant Interactions
B023;Bottero, I., Hodge, S., & Stout, J. C. (2021). Taxon-specific temporal shifts in pollinating insects in mass-flowering crops and field margins in Ireland. Journal of Pollination Ecology, 28. https://doi.org/10.26786/1920-7603(2021)628;09/07/2021;article ;6;https://doi.org/10.26786/1920-7603(2021)628;Journal of Pollination Ecology
